Date,Open,High,Low,Close,Volume
2022-06-01,150.0000,153.0614,149.0632,151.6332,40551601
2022-06-02,151.6332,153.4470,150.4806,151.0050,23116470
2022-06-03,151.0050,151.4769,148.7328,149.3193,28859720
2022-06-06,149.3193,149.9026,145.8916,146.4382,43323520
2022-06-07,146.4382,146.5626,143.9913,144.3422,42037244
2022-06-08,144.3422,145.6126,142.3213,143.7062,35893004
2022-06-09,143.7062,144.9616,139.5929,140.8703,35011039
2022-06-10,140.8703,142.7739,139.3237,142.2634,56022729
2022-06-13,142.2634,146.3343,141.8659,144.6782,42172092
2022-06-14,144.6782,148.0800,144.0006,146.6694,22650088
2022-06-15,146.6694,148.0570,145.4279,147.8713,16333835
2022-06-16,147.8713,148.7226,147.5242,147.7365,39049284
2022-06-17,147.7365,148.6139,146.1476,147.9587,57571368
2022-06-20,147.9587,151.6875,147.9127,151.2431,34077358
2022-06-21,151.2431,152.5230,147.9049,148.3731,22162397
2022-06-22,148.3731,149.0914,145.5985,146.8948,38129914
2022-06-23,146.8948,148.0888,145.4880,145.5672,26041890
2022-06-24,145.5672,148.5606,145.3902,147.2319,19190460
2022-06-27,147.2319,148.6599,147.2034,147.4980,36965252
2022-06-28,147.4980,147.6486,145.6590,145.9587,29720348
2022-06-29,145.9587,146.1553,144.8364,145.9227,58180230
2022-06-30,145.9227,147.6848,144.7871,147.5644,46425650
2022-07-01,147.5644,148.2457,142.8168,143.9439,61606791
2022-07-04,143.9439,148.4399,142.9268,147.4323,62006500
2022-07-05,147.4323,148.3331,145.2850,145.3923,53180621
2022-07-06,145.3923,147.1653,145.0485,146.7944,41138742
2022-07-07,146.7944,149.2158,146.2247,148.9729,40612341
2022-07-08,148.9729,150.5540,146.0292,147.3108,61859297
2022-07-11,147.3108,149.8476,146.8062,148.6325,40226129
2022-07-12,148.6325,149.4859,148.1869,148.2981,56784517
2022-07-13,148.2981,149.1137,144.1771,145.8044,40621804
2022-07-14,145.8044,149.3362,144.9875,148.8708,34204067
2022-07-15,148.8708,149.5308,146.9185,147.7077,56404746
2022-07-18,147.7077,151.7883,146.5243,151.6162,41384367
2022-07-19,151.6162,151.6903,150.4895,151.1458,31216002
2022-07-20,151.1458,152.2222,149.6456,150.3077,30197143
2022-07-21,150.3077,152.0704,148.0356,148.7349,62697979
2022-07-22,148.7349,149.9199,145.3486,146.3221,50074664
2022-07-25,146.3221,148.1913,145.2905,146.6534,18238939
2022-07-26,146.6534,149.3839,146.2217,148.2928,51071273
2022-07-27,148.2928,151.6566,148.0287,151.1539,29878387
2022-07-28,151.1539,152.9081,151.0229,152.0975,37583425
2022-07-29,152.0975,153.7670,151.4517,152.7065,53693519
2022-08-01,152.7065,154.8454,152.0717,154.3667,60415621
2022-08-02,154.3667,155.1956,151.7603,152.3160,43996373
2022-08-03,152.3160,155.1567,151.9681,154.9271,19061040
2022-08-04,154.9271,155.8952,151.1959,152.0881,61384083
2022-08-05,152.0881,153.0471,151.8897,151.9379,26819323
2022-08-08,151.9379,152.3824,149.2065,150.6309,36015787
2022-08-09,150.6309,151.5964,147.6761,147.9533,24932317
2022-08-10,147.9533,149.1763,146.6099,149.0226,37062747
2022-08-11,149.0226,150.2280,144.1232,145.8055,51448952
2022-08-12,145.8055,150.3378,145.3305,148.6623,39341972
2022-08-15,148.6623,151.5042,146.9376,150.7860,36316767
2022-08-16,150.7860,150.9581,146.4359,147.1901,16908063
2022-08-17,147.1901,150.0374,145.5422,148.2680,63361666
2022-08-18,148.2680,148.5887,146.3941,146.5182,60678872
2022-08-19,146.5182,146.6456,141.9117,143.0571,61491371
2022-08-22,143.0571,143.6392,142.9967,143.5306,55336787
2022-08-23,143.5306,145.7196,141.8356,145.1789,29499185
2022-08-24,145.1789,146.8622,142.5965,142.6918,33415837
2022-08-25,142.6918,143.7873,139.6609,140.4849,28098960
2022-08-26,140.4849,141.8285,138.8273,141.6468,53606023
2022-08-29,141.6468,142.6598,139.2177,139.6728,43591329
2022-08-30,139.6728,140.0251,137.6988,138.5144,19437891
2022-08-31,138.5144,143.6863,138.1364,142.3407,44740851
2022-09-01,142.3407,142.6256,139.4717,140.1161,50368913
2022-09-02,140.1161,141.6904,136.7132,137.1267,23883653
2022-09-05,137.1267,138.7331,136.4428,137.2424,41767984
2022-09-06,137.2424,141.8819,136.6708,140.9899,25084158
2022-09-07,140.9899,142.4328,139.9880,141.3622,25292440
2022-09-08,141.3622,143.0000,136.7804,137.9206,56549399
2022-09-09,137.9206,141.3430,137.6117,140.6247,62249603
2022-09-12,140.6247,143.9042,139.5618,143.7906,40018841
2022-09-13,143.7906,144.7720,139.2849,140.3807,37434662
2022-09-14,140.3807,141.8738,137.6514,138.7696,29374531
2022-09-15,138.7696,142.5623,138.1234,141.0231,43526395
2022-09-16,141.0231,141.2473,136.7909,138.2010,61832825
2022-09-19,138.2010,141.8212,137.0369,141.5683,34835447
2022-09-20,141.5683,143.0864,139.4827,139.6427,19899141
2022-09-21,139.6427,139.8875,138.0773,138.7379,46295064
2022-09-22,138.7379,140.5963,137.9340,139.0592,22950518
2022-09-23,139.0592,139.6654,137.9584,139.6264,23627897
2022-09-26,139.6264,140.4765,138.0684,139.7416,22127554
2022-09-27,139.7416,140.2926,137.4767,138.3396,34547060
2022-09-28,138.3396,143.6562,136.7728,142.0769,48139682
2022-09-29,142.0769,145.4728,141.7326,144.5175,23988391
2022-09-30,144.5175,145.8481,141.2125,142.3560,17645555
