Date,Open,High,Low,Close,Volume
2022-06-01,120.0000,124.2809,118.7149,122.8821,4002086
2022-06-02,122.8821,124.2947,122.1005,123.6658,4450908
2022-06-03,123.6658,124.3256,121.5094,121.8326,7568316
2022-06-06,121.8326,121.9580,117.9332,118.9467,7243984
2022-06-07,118.9467,120.2550,118.4343,119.2048,3752523
2022-06-08,119.2048,122.0288,118.2636,121.1722,9161517
2022-06-09,121.1722,124.9185,120.0674,124.3770,6739364
2022-06-10,124.3770,126.0296,123.9078,125.0385,4023066
2022-06-13,125.0385,126.1316,124.1523,125.0542,7495534
2022-06-14,125.0542,126.4611,124.7863,126.1855,6304758
2022-06-15,126.1855,128.7889,126.0124,128.4873,4146600
2022-06-16,128.4873,128.9121,124.6773,125.5402,11078366
2022-06-17,125.5402,126.0971,124.1714,124.6028,6125959
2022-06-20,124.6028,127.4570,124.2164,126.6228,4228421
2022-06-21,126.6228,129.8096,125.3638,128.7174,5485053
2022-06-22,128.7174,130.6454,127.8019,129.2207,12276477
2022-06-23,129.2207,130.7326,127.0504,127.1357,7195743
2022-06-24,127.1357,128.3708,123.0912,124.1147,12547862
2022-06-27,124.1147,127.7451,123.3126,126.3070,12686888
2022-06-28,126.3070,128.6958,124.8301,128.1634,6819191
2022-06-29,128.1634,128.2801,125.5664,126.2724,5087791
2022-06-30,126.2724,130.8390,125.9452,129.3636,4193633
2022-07-01,129.3636,130.0204,128.5196,129.7562,11003290
2022-07-04,129.7562,130.4129,126.8662,128.2526,7469048
2022-07-05,128.2526,129.6260,126.1325,127.3763,11793743
2022-07-06,127.3763,129.4728,126.3170,128.8348,11166268
2022-07-07,128.8348,130.3526,128.3784,129.9807,7132317
2022-07-08,129.9807,132.9299,129.1229,132.0472,11134792
2022-07-11,132.0472,133.0474,128.9882,129.5050,8569810
2022-07-12,129.5050,132.3944,128.0262,132.0010,3954323
2022-07-13,132.0010,133.4952,131.6286,132.6329,8584142
2022-07-14,132.6329,133.3485,131.4827,132.6261,3237843
2022-07-15,132.6261,133.8763,131.7370,131.9616,11526951
2022-07-18,131.9616,133.0402,129.8162,130.0865,7513510
2022-07-19,130.0865,130.2142,128.6584,129.7477,7809679
2022-07-20,129.7477,132.0911,128.8822,131.2420,8250816
2022-07-21,131.2420,132.6575,129.8976,130.0324,11615514
