Date,Open,High,Low,Close,Volume
2022-06-01,48.0000,48.3224,47.4191,47.9509,47939004
2022-06-02,47.9509,48.3813,47.8446,48.0427,50714518
2022-06-03,48.0427,48.9065,47.9884,48.4455,38204075
2022-06-06,48.4455,48.9162,47.0722,47.4672,22512820
2022-06-07,47.4672,49.3158,47.0947,48.7514,56933762
2022-06-08,48.7514,48.7602,47.6356,47.9396,23573066
2022-06-09,47.9396,48.0788,47.2073,47.2244,47836067
2022-06-10,47.2244,47.7018,46.8527,47.1464,58417502
2022-06-13,47.1464,47.5919,46.8876,47.2165,36689773
2022-06-14,47.2165,49.1126,46.7405,48.5327,62468577
2022-06-15,48.5327,48.6665,47.9634,48.1304,24213409
2022-06-16,48.1304,49.1167,47.6414,48.8818,43190811
2022-06-17,48.8818,50.6517,48.8815,50.1418,32583044
2022-06-20,50.1418,51.5967,49.5520,51.3074,43845463
2022-06-21,51.3074,51.6949,49.7541,50.2233,36186535
2022-06-22,50.2233,50.4237,48.6305,49.1997,65482431
2022-06-23,49.1997,49.3451,48.2188,48.2773,23593604
2022-06-24,48.2773,49.2145,47.9533,49.1097,46845492
2022-06-27,49.1097,49.5411,48.3023,48.3783,58622907
2022-06-28,48.3783,48.6226,47.3463,47.4676,36187698
2022-06-29,47.4676,49.1933,47.2944,48.7236,73091906
2022-06-30,48.7236,48.9541,47.5570,48.0496,58510139
2022-07-01,48.0496,48.6200,46.9833,47.1039,35496653
2022-07-04,47.1039,48.0442,46.9364,47.8553,24403913
2022-07-05,47.8553,48.1899,46.7507,46.8875,56077030
2022-07-06,46.8875,47.1425,46.1022,46.6390,49023471
2022-07-07,46.6390,47.3809,46.5367,46.8933,29248119
2022-07-08,46.8933,48.4495,46.7529,47.9787,31388039
2022-07-11,47.9787,49.2086,47.8655,48.6595,77008151
2022-07-12,48.6595,50.0782,48.4134,49.7181,26230380
2022-07-13,49.7181,50.2925,48.4382,48.5771,62274767
2022-07-14,48.5771,49.0573,47.6806,48.0243,37606120
2022-07-15,48.0243,48.4395,47.2312,47.2702,33703780
2022-07-18,47.2702,47.9756,46.9218,47.4899,36813163
