OrderID,CustomerID,ExpiryDays,Product,Category,Price,Quantity,OrderDate,dim_0001,dim_0002,dim_0003,dim_0004,dim_0005,dim_0006,dim_0007,dim_0008,dim_0009,dim_0010,dim_0011,dim_0012,dim_0013,dim_0014,dim_0015,dim_0016,dim_0017,dim_0018,dim_0019,dim_0020,dim_0021,dim_0022,dim_0023,dim_0024,dim_0025,dim_0026,dim_0027,dim_0028,dim_0029,dim_0030,dim_0031,dim_0032,dim_0033,dim_0034,dim_0035,dim_0036,dim_0037,dim_0038,dim_0039,dim_0040,dim_0041,dim_0042,dim_0043,dim_0044,dim_0045,dim_0046,dim_0047,dim_0048,dim_0049,dim_0050,dim_0051,dim_0052,dim_0053,dim_0054,dim_0055,dim_0056,dim_0057,dim_0058,dim_0059,dim_0060,dim_0061,dim_0062,dim_0063,dim_0064,dim_0065,dim_0066,dim_0067,dim_0068,dim_0069,dim_0070,dim_0071,dim_0072,dim_0073,dim_0074,dim_0075,dim_0076,dim_0077,dim_0078,dim_0079,dim_0080,dim_0081,dim_0082,dim_0083,dim_0084,dim_0085,dim_0086,dim_0087,dim_0088,dim_0089,dim_0090,dim_0091,dim_0092,dim_0093,dim_0094,dim_0095,dim_0096,dim_0097,dim_0098,dim_0099,dim_0100,dim_0101,dim_0102,dim_0103,dim_0104,dim_0105,dim_0106,dim_0107,dim_0108,dim_0109,dim_0110,dim_0111,dim_0112,dim_0113,dim_0114,dim_0115,dim_0116,dim_0117,dim_0118,dim_0119,dim_0120,dim_0121,dim_0122,dim_0123,dim_0124,dim_0125,dim_0126,dim_0127,dim_0128,dim_0129,dim_0130,dim_0131,dim_0132,dim_0133,dim_0134,dim_0135,dim_0136,dim_0137,dim_0138,dim_0139,dim_0140,dim_0141,dim_0142,dim_0143,dim_0144,dim_0145,dim_0146,dim_0147,dim_0148,dim_0149,dim_0150,dim_0151,dim_0152,dim_0153,dim_0154,dim_0155,dim_0156,dim_0157,dim_0158,dim_0159,dim_0160,dim_0161,dim_0162,dim_0163,dim_0164,dim_0165,dim_0166,dim_0167,dim_0168,dim_0169,dim_0170,dim_0171,dim_0172,dim_0173,dim_0174,dim_0175,dim_0176,dim_0177,dim_0178,dim_0179,dim_0180,dim_0181,dim_0182,dim_0183,dim_0184,dim_0185,dim_0186,dim_0187,dim_0188,dim_0189,dim_0190,dim_0191,dim_0192,dim_0193,dim_0194,dim_0195,dim_0196,dim_0197,dim_0198,dim_0199,dim_0200,dim_0201,dim_0202,dim_0203,dim_0204,dim_0205,dim_0206,dim_0207,dim_0208,dim_0209,dim_0210,dim_0211,dim_0212,dim_0213,dim_0214,dim_0215,dim_0216,dim_0217,dim_0218,dim_0219,dim_0220,dim_0221,dim_0222,dim_0223,dim_0224,dim_0225,dim_0226,dim_0227,dim_0228,dim_0229,dim_0230,dim_0231,dim_0232,dim_0233,dim_0234,dim_0235,dim_0236,dim_0237,dim_0238,dim_0239,dim_0240,dim_0241,dim_0242,dim_0243,dim_0244,dim_0245,dim_0246,dim_0247,dim_0248,dim_0249,dim_0250,dim_0251,dim_0252,dim_0253,dim_0254,dim_0255,dim_0256,dim_0257,dim_0258,dim_0259,dim_0260,dim_0261,dim_0262,dim_0263,dim_0264,dim_0265,dim_0266,dim_0267,dim_0268,dim_0269,dim_0270,dim_0271,dim_0272,dim_0273,dim_0274,dim_0275,dim_0276,dim_0277,dim_0278,dim_0279,dim_0280,dim_0281,dim_0282,dim_0283,dim_0284,dim_0285,dim_0286,dim_0287,dim_0288,dim_0289,dim_0290,dim_0291,dim_0292,dim_0293,dim_0294,dim_0295,dim_0296,dim_0297,dim_0298,dim_0299,dim_0300,dim_0301,dim_0302,dim_0303,dim_0304,dim_0305,dim_0306,dim_0307,dim_0308,dim_0309,dim_0310,dim_0311,dim_0312,dim_0313,dim_0314,dim_0315,dim_0316,dim_0317,dim_0318,dim_0319,dim_0320,dim_0321,dim_0322,dim_0323,dim_0324,dim_0325,dim_0326,dim_0327,dim_0328,dim_0329,dim_0330,dim_0331,dim_0332,dim_0333,dim_0334,dim_0335,dim_0336,dim_0337,dim_0338,dim_0339,dim_0340,dim_0341,dim_0342,dim_0343,dim_0344,dim_0345,dim_0346,dim_0347,dim_0348,dim_0349,dim_0350,dim_0351,dim_0352,dim_0353,dim_0354,dim_0355,dim_0356,dim_0357,dim_0358,dim_0359,dim_0360,dim_0361,dim_0362,dim_0363,dim_0364,dim_0365,dim_0366,dim_0367,dim_0368,dim_0369,dim_0370,dim_0371,dim_0372,dim_0373,dim_0374,dim_0375,dim_0376,dim_0377,dim_0378,dim_0379,dim_0380,dim_0381,dim_0382,dim_0383,dim_0384,dim_0385,dim_0386,dim_0387,dim_0388,dim_0389,dim_0390,dim_0391,dim_0392
601,C300,30,Workstation,Electronics,98000.0,1.0,2024-01-07,1,29,11.2991,2024,570,1,50,81.1799,2023,469,1,398,35.0699,2024,482,1,34,76.8981,2020,913,1,301,49.0841,2019,311,0,404,87.1558,2018,700,1,490,47.5491,2023,213,0,403,17.7827,2022,882,1,40,2.8595,2021,337,0,108,35.8678,2018,173,0,187,11.7391,2021,984,0,218,76.582,2023,619,0,207,7.1317,2020,75,0,480,9.2095,2023,602,0,104,2.6198,2023,945,0,400,24.3749,2022,413,0,123,72.9151,2024,757,0,70,77.7896,2023,787,1,484,79.7165,2023,877,0,111,68.4621,2019,984,1,488,44.3529,2022,647,1,344,36.5666,2024,436,0,199,45.5387,2021,749,1,434,64.7971,2021,535,1,60,22.1585,2019,596,0,267,46.6497,2019,27,1,154,78.7417,2023,205,1,329,54.2622,2021,31,0,73,31.2542,2018,847,1,235,92.122,2021,555,1,246,95.9976,2021,737,0,104,83.7357,2018,583,1,268,13.6289,2021,742,1,52,16.7124,2018,243,1,302,10.2863,2019,510,0,93,92.223,2024,860,1,243,98.1271,2022,827,0,485,18.6065,2021,861,1,269,0.2961,2018,751,0,344,29.387,2021,145,1,200,98.955,2024,112,1,437,34.2847,2020,429,1,485,64.8237,2020,551,1,231,63.1177,2019,631,1,241,7.9994,2018,846,1,373,18.1263,2022,878,0,224,3.7138,2019,504,1,315,80.1548,2023,167,0,246,18.9959,2023,274,1,84,31.0602,2022,863,0,139,89.972,2022,567,1,215,84.2751,2018,465,1,74,77.668,2020,998,0,364,51.6699,2018,107,0,253,18.1034,2022,884,1,114,57.335,2023,856,0,340,78.0612,2022,507,1,128,86.0943,2018,240,0,343,93.8413,2019,537,1,389,3.1262,2024,377,1,393,68.1358,2022,293,0,229,52.2671,2020,601,1,81,71.0462,2023,610,0,257,71.6916,2018,764,1,6,83.0219,2019,739,0,364,49.1545,2018,521,1,146,38.7768,2023,903,1,86,48.2355,2023,478,0,10,60.0645,2021,558,0,49,51.997,2023,544,0,30,68.7592,2018,131,1,101,91.4483,2023,878,0,486,88.0248,2021,599,1,255,67.7937,2019,92,1,42,6.0513,2023,403,0,336,92.4016,2019,585,0,199,71.6468,2018,0,0,31,46.115,2023,963,0,385
602,C301,45,Phone,Electronics,42000.0,1.0,2024-01-19,0,47,42.714,2022,388,1,439,23.88,2023,709,0,229,99.5758,2019,551,1,397,39.5286,2019,210,1,49,0.5169,2023,86,1,120,23.3109,2020,477,1,128,71.8955,2023,922,1,296,46.6067,2021,11,0,22,44.3949,2021,69,1,10,56.5891,2018,529,1,82,54.0554,2020,484,1,372,41.1074,2020,447,0,384,4.2352,2021,352,0,61,85.8191,2019,861,0,183,94.536,2019,198,1,163,47.4782,2021,688,0,249,32.0634,2022,119,0,394,66.1202,2024,356,1,105,91.4205,2024,602,0,75,56.426,2021,618,1,349,68.7099,2018,689,0,148,38.807,2020,35,1,98,46.647,2020,100,1,36,39.199,2024,662,0,98,45.8999,2024,419,0,18,2.7541,2019,886,1,187,69.9959,2018,15,0,451,78.0545,2019,906,1,231,4.3398,2024,734,0,203,44.1864,2024,758,1,479,31.4024,2018,251,1,115,24.5504,2024,925,1,256,34.494,2018,428,0,372,91.0575,2020,52,1,206,31.6637,2023,825,0,94,7.1261,2024,36,1,200,31.7797,2020,354,1,313,14.6798,2020,931,1,269,46.5135,2022,450,1,331,60.4155,2018,377,1,357,79.7807,2021,595,0,451,90.5237,2020,100,0,87,20.6699,2023,620,1,395,6.0762,2024,697,0,420,18.3574,2024,507,0,459,46.4478,2023,809,0,316,62.3586,2018,186,0,99,55.6374,2020,818,1,38,56.7895,2021,882,0,342,43.1359,2019,70,0,285,50.5273,2018,918,1,277,15.4151,2022,129,0,394,1.632,2018,584,0,66,10.4551,2022,999,0,370,97.1911,2021,931,1,356,50.9879,2019,139,1,114,6.1589,2019,250,1,34,29.8372,2021,410,0,387,13.5284,2020,138,0,43,98.7983,2023,622,0,184,0.75,2019,991,1,291,57.1036,2021,762,1,325,66.3414,2023,951,0,386,20.4953,2021,55,0,66,20.6337,2019,412,0,214,83.608,2020,167,0,12,93.8023,2023,18,0,70,5.5315,2024,942,1,350,61.1375,2018,304,0,329,46.1645,2021,183,0,111,58.3231,2021,29,0,215,14.455,2020,219,0,329,19.4221,2019,323,1,443,40.7827,2023,42,1,170,15.199,2021,580,1,273,79.2681,2020,378,1,398,80.2092,2021,740,1,185,98.3139,2021,444,0,220
603,C302,60,Headphones,Electronics,7900.0,1.0,2024-02-02,1,162,89.2765,2022,442,0,473,74.9081,2023,335,1,53,70.9068,2019,583,1,108,8.2629,2019,982,0,383,18.4114,2020,843,1,269,15.2606,2024,638,0,478,50.1232,2021,625,1,55,12.2749,2023,556,1,104,94.3254,2021,461,0,436,62.1067,2021,88,0,453,63.8216,2021,431,0,282,79.5521,2023,542,1,278,14.6176,2018,143,1,256,33.4572,2018,470,0,421,16.3202,2023,160,0,52,97.5301,2021,651,1,328,88.0274,2021,719,1,250,0.2501,2018,666,1,349,35.597,2023,523,1,279,97.0134,2020,98,1,382,92.4716,2021,862,1,115,5.2908,2023,60,1,387,74.2714,2022,621,0,154,41.3644,2023,135,1,284,92.996,2018,978,1,198,38.6482,2019,982,0,218,86.1945,2023,768,1,220,37.7807,2020,263,1,351,66.6189,2018,339,1,423,66.4048,2024,821,1,41,41.3513,2018,221,1,96,88.633,2019,968,1,499,36.1479,2020,724,1,381,49.5031,2024,555,1,67,75.8066,2022,844,0,256,69.888,2022,694,1,204,68.7238,2022,154,1,222,3.2801,2018,395,0,377,3.889,2023,220,1,21,68.6911,2024,151,0,162,74.0095,2018,778,1,135,61.5566,2022,203,0,388,42.4485,2019,850,1,297,53.4918,2019,249,1,221,6.7502,2020,525,1,192,66.525,2024,639,1,1,55.1035,2022,819,0,168,86.86,2024,436,1,456,42.8609,2020,562,0,496,24.9022,2019,960,0,289,68.7651,2020,366,1,166,39.3911,2018,80,0,260,89.0157,2024,202,0,194,42.2193,2018,396,1,165,97.1287,2019,866,1,220,54.5223,2022,826,1,461,29.1912,2019,737,0,31,27.4888,2021,369,0,498,66.5258,2018,523,1,332,46.2714,2024,938,0,67,74.6614,2020,79,1,333,69.2029,2018,545,1,124,46.8531,2022,896,0,13,80.1894,2019,962,1,149,72.5293,2023,210,0,399,26.3104,2019,959,0,395,71.4436,2020,350,0,81,28.6851,2024,461,0,478,80.0292,2020,402,0,495,37.5534,2021,718,0,343,46.0989,2019,367,0,399,13.4429,2019,806,1,439,53.7388,2018,702,1,196,72.4649,2021,393,1,45,10.256,2019,295,1,167,71.4386,2020,179,0,43,24.2341,2022,798,0,156,57.7549,2018,19,0,452
604,C303,30,Camera,Electronics,41000.0,1.0,2024-02-13,1,265,71.8898,2018,336,1,98,88.4471,2023,961,1,456,94.725,2023,907,1,367,93.0463,2022,787,1,404,4.7322,2022,214,0,317,30.0124,2022,595,0,19,59.5029,2023,721,1,86,5.7787,2023,30,1,14,80.266,2022,826,0,96,37.1809,2022,274,0,268,84.2711,2019,411,1,404,43.2429,2020,485,1,219,34.2227,2019,267,0,138,78.0429,2018,746,1,142,44.134,2022,993,0,235,7.0395,2020,258,1,129,64.9228,2024,182,1,342,44.0091,2023,197,1,362,62.7104,2020,224,0,353,56.5413,2020,226,0,461,38.0537,2020,80,1,136,64.1519,2021,398,0,132,89.0276,2020,713,0,215,68.9897,2022,966,1,290,62.9747,2021,134,1,246,60.1625,2023,165,1,284,19.5553,2020,127,1,77,9.4002,2024,379,1,172,2.0021,2018,313,0,187,44.2648,2018,440,1,148,65.3153,2023,961,0,96,88.6686,2018,948,1,427,0.4257,2020,36,1,193,97.9875,2019,805,0,279,83.0474,2018,552,0,468,16.2863,2022,929,0,488,34.4021,2023,504,1,181,84.9543,2024,52,0,40,79.5751,2020,262,1,190,13.2315,2023,831,0,404,9.3724,2022,654,1,86,13.9261,2018,312,0,300,85.8559,2019,510,1,355,77.0651,2019,935,1,260,84.5444,2020,314,1,212,90.4273,2019,376,1,137,9.7238,2020,722,1,74,52.4767,2019,181,1,219,54.3066,2021,716,1,402,4.1763,2018,126,0,373,5.7149,2018,65,0,358,59.4006,2019,65,0,448,36.744,2018,298,0,57,6.3114,2018,671,0,263,2.1276,2023,142,0,397,48.5795,2022,48,0,313,17.4253,2022,660,1,414,6.2271,2024,791,0,289,73.2198,2023,823,0,56,14.5921,2021,672,1,389,41.8046,2019,708,1,466,19.7705,2021,489,0,479,81.2941,2019,341,0,135,66.541,2022,497,0,277,39.9045,2024,732,0,89,9.289,2018,141,1,327,50.7167,2024,759,1,61,58.6488,2018,551,1,26,46.5216,2020,788,1,219,63.8497,2019,620,1,225,99.5888,2021,941,1,172,56.8707,2024,495,0,424,74.1335,2024,905,0,179,77.6533,2018,433,0,311,31.1968,2021,914,1,170,27.8721,2020,735,0,364,11.9546,2023,913,0,397,44.7967,2022,966,1,16
605,C304,30,Tablet,Electronics,30500.0,,2024-02-25,0,326,6.9968,2021,611,1,415,32.0166,2024,554,0,320,25.1378,2021,647,1,100,54.2937,2019,997,1,18,54.8351,2018,690,0,171,88.5219,2024,133,1,265,10.2271,2022,218,1,260,11.0745,2020,761,1,417,2.3196,2022,50,1,197,55.1762,2023,69,1,85,19.8423,2020,859,0,414,86.7129,2023,466,0,355,62.7176,2020,522,1,235,43.842,2018,817,1,92,44.3295,2023,571,1,24,39.7175,2018,961,1,103,1.8432,2020,333,0,199,80.7418,2021,581,0,164,30.9832,2022,646,1,298,0.1635,2020,249,1,273,69.1898,2018,51,0,122,21.2284,2021,401,1,88,94.0439,2024,959,1,219,74.1111,2022,645,1,231,92.3911,2022,828,1,205,88.9204,2020,747,1,424,61.6248,2023,635,0,388,29.5128,2018,162,0,356,83.6259,2024,817,0,114,85.6201,2021,133,0,461,11.9734,2023,836,1,189,36.818,2020,655,1,153,83.7223,2018,32,0,161,63.3442,2023,308,1,107,58.7303,2021,731,1,288,44.5737,2023,601,1,75,10.9557,2023,846,1,273,46.9717,2019,996,0,430,12.0217,2021,692,0,6,32.952,2018,871,1,33,9.3636,2020,757,0,313,3.2618,2020,363,1,51,93.964,2018,444,0,111,28.0697,2021,585,1,465,94.2951,2020,725,1,345,45.4705,2019,200,1,407,20.1806,2023,922,0,130,45.487,2023,156,1,64,29.3621,2021,361,0,496,39.7893,2018,607,0,191,24.8653,2021,749,0,422,7.1596,2024,349,0,132,24.5381,2018,4,1,391,24.3354,2024,873,1,131,36.8383,2023,235,1,434,9.7381,2018,86,0,122,40.1331,2018,400,1,248,98.9428,2021,836,1,105,81.3327,2020,844,0,275,48.61,2022,587,0,272,16.9499,2021,274,1,148,63.7686,2023,86,0,408,43.9928,2018,271,0,97,80.2777,2018,832,0,289,24.0179,2024,598,1,204,97.1628,2019,486,0,275,73.7156,2020,708,0,256,17.6641,2024,473,0,459,51.7645,2022,156,0,71,19.7144,2020,459,0,231,33.6317,2018,507,0,494,44.7828,2019,63,0,113,69.0979,2022,154,1,405,53.1931,2018,966,0,45,6.5847,2020,650,0,325,35.3675,2020,674,0,413,63.8429,2024,519,1,12,24.9617,2021,230,1,449
606,C305,45,Serum,Beauty,1300.0,2.0,2024-03-07,1,34,45.6125,2020,830,0,41,90.2784,2019,48,1,474,89.2955,2021,735,0,25,24.3007,2024,45,0,130,31.8463,2024,549,1,468,33.7572,2021,919,1,294,36.4716,2018,110,1,388,86.6995,2019,713,0,411,62.6685,2021,512,1,345,80.2094,2020,889,1,236,39.1209,2023,557,0,256,7.3639,2019,371,0,248,98.0003,2018,710,1,241,99.422,2023,199,1,169,72.3343,2021,125,1,209,45.1824,2022,19,0,499,79.1581,2024,540,1,267,94.8339,2019,536,0,234,40.2764,2024,260,1,202,54.6238,2022,542,1,96,67.1621,2021,983,1,466,68.2438,2023,463,0,129,81.5038,2022,909,1,496,47.6105,2018,396,0,141,19.3653,2021,198,0,5,0.4034,2024,778,0,158,38.7775,2024,61,0,148,56.7554,2022,883,0,147,86.1987,2019,821,0,400,15.8295,2022,831,0,67,4.6801,2023,583,0,160,26.8546,2022,322,1,294,32.9468,2020,82,1,180,62.9521,2022,716,1,250,96.6011,2023,456,0,189,12.0439,2021,492,0,17,78.8695,2020,303,0,142,11.3961,2020,290,0,404,62.6016,2022,72,1,5,83.4673,2020,278,1,228,61.3194,2019,546,1,418,17.7742,2024,644,0,331,14.4934,2018,934,1,220,65.5122,2020,428,0,21,71.4861,2023,835,1,43,3.1781,2018,227,1,323,67.1978,2022,807,1,429,75.0757,2023,622,1,383,10.9511,2018,236,0,59,30.7807,2023,459,0,397,93.1844,2023,140,0,448,91.817,2020,764,1,95,42.9711,2019,90,1,161,69.223,2018,741,1,317,80.4519,2023,126,0,326,32.5647,2024,337,1,498,74.0223,2022,522,1,111,43.5206,2018,507,0,156,1.336,2019,185,0,224,64.7166,2022,833,1,250,52.3901,2022,924,1,113,68.1389,2021,13,0,280,4.7899,2019,174,0,178,91.6959,2021,336,1,382,14.2737,2024,437,0,434,88.7794,2024,186,1,277,96.3444,2022,697,1,53,53.584,2024,272,0,195,88.535,2019,108,0,277,3.8178,2023,673,1,239,53.2048,2018,287,1,450,25.8803,2022,820,0,306,28.9628,2020,124,1,234,57.2559,2018,813,0,13,84.3891,2019,428,0,311,36.2306,2019,364,1,67,75.298,2021,140,1,436,57.1664,2023,785,1,26
607,C306,60,Desk,Home,12500.0,1.0,2024-03-18,0,345,53.8047,2022,804,0,253,33.0549,2019,44,1,79,22.5355,2020,355,1,377,62.2929,2021,422,0,70,80.0632,2022,545,1,173,50.0556,2024,2,0,97,1.6601,2022,665,1,187,54.262,2023,951,0,426,52.6644,2021,551,1,311,97.2634,2021,138,1,224,19.2569,2022,147,0,72,80.7577,2022,918,1,104,8.4668,2018,122,1,49,63.8585,2021,100,1,466,23.732,2024,895,0,494,23.6486,2020,198,1,197,77.2568,2018,326,0,226,65.3289,2023,647,1,82,86.3155,2024,292,1,151,66.6084,2022,959,0,378,45.3949,2018,424,1,246,94.8786,2018,859,0,464,86.5524,2023,793,1,206,85.1208,2022,92,0,353,91.7173,2019,565,1,345,6.7008,2020,499,0,211,73.9902,2022,359,1,417,98.8436,2023,592,1,408,54.5499,2019,90,0,245,91.0177,2024,274,1,158,27.5686,2023,279,1,106,70.9682,2023,997,0,299,72.2503,2024,815,1,230,43.0567,2018,277,0,121,30.1199,2020,429,0,31,93.3484,2023,575,1,62,53.1013,2020,599,0,467,79.9392,2024,511,1,273,2.2151,2021,545,0,352,12.463,2023,755,0,441,55.8703,2019,461,1,414,83.714,2019,676,0,90,87.0907,2019,315,0,262,63.1309,2018,772,0,336,45.0808,2022,402,1,130,32.6755,2024,152,1,31,27.8969,2020,398,0,367,66.4586,2022,256,1,189,69.9446,2024,687,0,197,44.6948,2022,529,0,470,13.8614,2024,914,0,139,9.179,2023,536,0,291,96.6608,2021,85,1,348,54.4408,2020,650,0,368,14.9704,2021,841,1,39,98.6302,2020,59,0,23,30.4665,2018,532,1,404,24.1201,2022,200,1,105,7.258,2023,259,0,22,33.6908,2021,940,1,167,24.4553,2020,650,0,108,51.1963,2019,735,1,237,49.5187,2023,417,0,490,31.9363,2019,499,0,79,18.7186,2018,612,0,379,7.7791,2020,505,0,392,61.4556,2018,785,0,399,77.1285,2019,34,0,400,55.4015,2021,779,0,29,89.2132,2020,497,0,430,4.7329,2021,775,0,297,40.4557,2023,170,1,158,48.8236,2022,690,1,278,2.814,2024,435,0,39,70.3749,2019,567,1,247,34.3636,2020,721,0,28,6.5223,2023,506,1,371,49.2449,2019,579,0,268
608,C307,30,Monitor,Electronics,18500.0,1.0,2024-04-04,0,28,81.0418,2019,329,1,498,26.2027,2018,266,1,423,70.1049,2021,140,0,209,6.8436,2024,969,0,278,41.0682,2020,121,1,167,40.8495,2024,996,1,117,28.2872,2019,114,0,477,41.7888,2022,110,1,43,12.8289,2018,497,0,453,39.3874,2023,626,0,480,88.3355,2019,648,0,168,9.4579,2021,614,0,158,56.0907,2019,58,0,194,53.0077,2022,737,0,395,55.5247,2021,901,0,30,17.7533,2024,457,1,312,83.9569,2020,866,0,211,10.5889,2019,757,1,177,73.1204,2022,589,0,384,62.1249,2019,684,1,314,34.0848,2024,892,0,441,10.3404,2021,255,0,70,97.9444,2021,419,1,327,14.9061,2024,860,1,163,46.0826,2021,995,0,437,38.0631,2021,273,1,339,98.7845,2021,311,1,191,46.2244,2020,78,0,403,41.9937,2019,354,0,121,80.8868,2020,191,1,381,87.1074,2024,532,1,465,71.488,2024,110,0,92,42.7386,2024,468,0,137,67.7976,2019,342,0,350,6.3912,2024,600,1,318,8.9182,2021,918,1,294,4.7646,2021,632,0,382,30.6837,2020,735,0,424,24.1036,2021,572,1,474,19.2626,2020,713,0,1,16.7838,2020,696,0,495,31.3454,2019,162,1,121,63.3282,2019,941,1,187,71.3009,2023,527,0,418,47.3461,2024,547,0,324,47.9481,2023,238,1,488,20.9736,2018,479,0,52,49.8454,2019,825,0,57,72.1301,2021,202,0,12,30.3385,2021,104,1,290,58.5497,2022,119,1,238,94.3822,2022,465,1,4,56.6079,2023,410,0,266,52.7364,2018,568,1,19,24.1914,2018,955,1,138,41.3301,2021,190,0,337,5.0866,2021,304,1,346,58.6776,2024,503,1,27,61.9477,2024,180,1,213,7.9824,2018,910,1,353,1.6168,2023,270,1,317,4.7318,2021,323,1,471,1.5135,2019,993,0,399,43.0371,2022,487,1,211,7.0348,2023,433,0,63,79.4095,2021,310,1,128,41.357,2024,578,1,265,66.0135,2019,585,1,134,97.1917,2021,526,0,10,53.2297,2024,761,0,204,0.6791,2020,372,1,318,85.7888,2021,715,1,457,46.2532,2024,846,1,288,28.4242,2023,302,1,236,98.0117,2022,149,1,368,74.8703,2018,502,0,195,34.3001,2018,203,1,17,61.6395,2022,715,0,336
609,C308,75,Shoes,Fashion,3200.0,2.0,2024-04-15,0,175,47.8909,2021,202,1,200,87.079,2021,457,0,477,63.5543,2019,250,0,425,50.7921,2018,251,1,140,18.531,2024,463,1,62,23.7837,2018,866,1,283,63.5852,2018,346,0,182,51.6689,2018,303,0,315,5.8712,2021,37,0,275,47.6738,2019,98,1,213,33.3327,2019,840,1,258,1.7105,2018,346,0,196,1.4748,2018,290,0,397,69.0669,2022,932,0,147,88.4798,2019,777,0,261,97.003,2024,819,1,268,50.5681,2024,515,0,456,81.5716,2022,624,0,299,69.8387,2024,791,0,231,16.0837,2020,943,1,426,0.4444,2022,977,1,309,48.7493,2019,879,1,104,30.4319,2020,653,0,378,76.6094,2019,137,1,68,61.5046,2022,25,0,480,67.6713,2020,494,1,17,96.8785,2022,736,0,167,72.2481,2022,747,0,498,66.0362,2024,618,1,192,64.6547,2022,58,1,122,73.3119,2018,725,0,70,56.1347,2023,588,1,377,81.9548,2018,119,1,308,7.2491,2018,303,0,93,91.2426,2019,819,0,154,51.0652,2023,120,1,249,35.6257,2018,166,0,469,22.5172,2023,953,1,289,52.5254,2023,495,1,418,19.1392,2024,877,1,372,48.4309,2023,263,0,244,21.549,2023,153,0,270,26.1433,2018,20,1,212,12.3694,2018,538,1,476,41.3417,2023,658,0,317,82.8539,2022,555,1,26,25.5726,2018,893,0,329,85.4137,2018,856,1,190,3.9267,2021,915,0,476,93.9418,2018,928,1,233,52.0063,2023,243,0,466,84.561,2018,312,0,56,3.6933,2022,743,0,214,31.2558,2024,343,0,104,68.1593,2024,567,0,18,4.8924,2018,727,0,233,84.0284,2022,730,0,41,14.0718,2018,756,0,485,33.3656,2024,425,0,175,89.6337,2023,281,1,387,46.8855,2020,63,1,406,3.8396,2024,384,0,484,10.7994,2019,985,1,433,41.9599,2019,150,0,71,11.2811,2019,934,1,191,56.3049,2023,50,0,10,10.3323,2019,995,0,291,67.7881,2018,356,0,402,41.1253,2023,493,1,93,28.884,2020,351,1,222,23.0337,2021,753,1,312,39.0545,2019,831,0,107,1.498,2023,185,0,298,71.996,2023,885,1,333,32.0281,2023,799,1,358,69.2373,2021,22,1,29,27.2678,2021,261,1,292,85.948,2024,673,1,317
610,C309,90,Keyboard,Electronics,3700.0,1.0,2024-04-28,1,377,36.3951,2018,559,1,82,88.6105,2022,874,1,356,61.5928,2022,58,1,56,76.6528,2023,771,0,356,91.2929,2018,223,0,426,84.918,2024,918,1,233,12.7016,2020,679,0,455,59.6133,2024,379,1,454,3.9599,2021,530,1,169,2.2761,2022,76,1,165,84.3403,2023,243,1,206,64.0305,2022,256,1,353,86.6067,2022,983,1,166,35.3545,2022,958,1,397,94.8278,2021,416,1,85,2.8694,2021,868,0,38,76.396,2018,799,0,475,25.3447,2021,481,1,421,65.0742,2023,942,0,460,94.3213,2021,11,0,36,73.0891,2023,953,1,60,22.1366,2024,155,1,347,19.9297,2022,160,1,287,22.6341,2022,546,0,156,87.2321,2022,748,1,202,13.4762,2022,15,0,379,5.5991,2018,277,1,448,60.948,2022,921,1,64,61.4745,2019,738,1,126,7.2064,2020,270,0,323,87.3784,2021,86,1,364,43.203,2021,64,0,449,87.2666,2024,589,0,316,34.6785,2021,652,1,393,66.5856,2021,660,1,384,5.7473,2021,113,0,98,79.2803,2024,555,0,359,83.4134,2023,904,0,495,88.8027,2022,42,0,453,93.4389,2021,151,0,86,76.0442,2018,263,0,103,2.7304,2019,174,0,270,68.4925,2019,557,1,167,97.1451,2019,467,0,199,46.1039,2020,254,1,128,68.0284,2021,95,1,298,88.7513,2023,117,1,422,27.1523,2021,293,0,424,80.4072,2019,749,0,46,81.709,2021,768,1,68,48.6141,2020,392,0,193,12.8098,2022,389,1,45,67.9927,2020,687,1,56,65.9521,2024,991,0,121,62.7859,2020,449,1,261,87.688,2019,541,1,105,61.8234,2023,43,1,396,14.6636,2022,920,1,195,24.6699,2024,632,0,417,76.7522,2018,422,1,18,91.2658,2020,635,0,124,7.7524,2019,914,0,398,67.0776,2019,103,0,89,99.2569,2019,549,1,338,74.9316,2021,92,0,272,50.1049,2021,77,0,156,44.5596,2023,692,0,167,48.6705,2020,763,0,94,15.8735,2019,349,1,431,3.4488,2024,660,0,405,82.7042,2019,264,0,428,49.8136,2019,338,0,209,57.9633,2020,606,0,158,80.1876,2024,664,0,100,67.1782,2023,196,1,283,47.4361,2018,716,1,320,45.8388,2023,777,1,290,7.3426,2022,771,0,383
