OrderID,CustomerID,ExpiryDays,Product,Category,Price,Quantity,OrderDate,dim_0001,dim_0002,dim_0003,dim_0004,dim_0005,dim_0006,dim_0007,dim_0008,dim_0009,dim_0010,dim_0011,dim_0012,dim_0013,dim_0014,dim_0015,dim_0016,dim_0017,dim_0018,dim_0019,dim_0020,dim_0021,dim_0022,dim_0023,dim_0024,dim_0025,dim_0026,dim_0027,dim_0028,dim_0029,dim_0030,dim_0031,dim_0032,dim_0033,dim_0034,dim_0035,dim_0036,dim_0037,dim_0038,dim_0039,dim_0040,dim_0041,dim_0042,dim_0043,dim_0044,dim_0045,dim_0046,dim_0047,dim_0048,dim_0049,dim_0050,dim_0051,dim_0052,dim_0053,dim_0054,dim_0055,dim_0056,dim_0057,dim_0058,dim_0059,dim_0060,dim_0061,dim_0062,dim_0063,dim_0064,dim_0065,dim_0066,dim_0067,dim_0068,dim_0069,dim_0070,dim_0071,dim_0072,dim_0073,dim_0074,dim_0075,dim_0076,dim_0077,dim_0078,dim_0079,dim_0080,dim_0081,dim_0082,dim_0083,dim_0084,dim_0085,dim_0086,dim_0087,dim_0088,dim_0089,dim_0090,dim_0091,dim_0092,dim_0093,dim_0094,dim_0095,dim_0096,dim_0097,dim_0098,dim_0099,dim_0100,dim_0101,dim_0102,dim_0103,dim_0104,dim_0105,dim_0106,dim_0107,dim_0108,dim_0109,dim_0110,dim_0111,dim_0112,dim_0113,dim_0114,dim_0115,dim_0116,dim_0117,dim_0118,dim_0119,dim_0120,dim_0121,dim_0122,dim_0123,dim_0124,dim_0125,dim_0126,dim_0127,dim_0128,dim_0129,dim_0130,dim_0131,dim_0132,dim_0133,dim_0134,dim_0135,dim_0136,dim_0137,dim_0138,dim_0139,dim_0140,dim_0141,dim_0142,dim_0143,dim_0144,dim_0145,dim_0146,dim_0147,dim_0148,dim_0149,dim_0150,dim_0151,dim_0152,dim_0153,dim_0154,dim_0155,dim_0156,dim_0157,dim_0158,dim_0159,dim_0160,dim_0161,dim_0162,dim_0163,dim_0164,dim_0165,dim_0166,dim_0167,dim_0168,dim_0169,dim_0170,dim_0171,dim_0172,dim_0173,dim_0174,dim_0175,dim_0176,dim_0177,dim_0178,dim_0179,dim_0180,dim_0181,dim_0182,dim_0183,dim_0184,dim_0185,dim_0186,dim_0187,dim_0188,dim_0189,dim_0190,dim_0191,dim_0192,dim_0193,dim_0194,dim_0195,dim_0196,dim_0197,dim_0198,dim_0199,dim_0200,dim_0201,dim_0202,dim_0203,dim_0204,dim_0205,dim_0206,dim_0207,dim_0208,dim_0209,dim_0210,dim_0211,dim_0212,dim_0213,dim_0214,dim_0215,dim_0216,dim_0217,dim_0218,dim_0219,dim_0220,dim_0221,dim_0222,dim_0223,dim_0224,dim_0225,dim_0226,dim_0227,dim_0228,dim_0229,dim_0230,dim_0231,dim_0232,dim_0233,dim_0234,dim_0235,dim_0236,dim_0237,dim_0238,dim_0239,dim_0240,dim_0241,dim_0242,dim_0243,dim_0244,dim_0245,dim_0246,dim_0247,dim_0248,dim_0249,dim_0250,dim_0251,dim_0252,dim_0253,dim_0254,dim_0255,dim_0256,dim_0257,dim_0258,dim_0259,dim_0260,dim_0261,dim_0262,dim_0263,dim_0264,dim_0265,dim_0266,dim_0267,dim_0268,dim_0269,dim_0270,dim_0271,dim_0272,dim_0273,dim_0274,dim_0275,dim_0276,dim_0277,dim_0278,dim_0279,dim_0280,dim_0281,dim_0282,dim_0283,dim_0284,dim_0285,dim_0286,dim_0287,dim_0288,dim_0289,dim_0290,dim_0291,dim_0292,dim_0293,dim_0294,dim_0295,dim_0296,dim_0297,dim_0298,dim_0299,dim_0300,dim_0301,dim_0302,dim_0303,dim_0304,dim_0305,dim_0306,dim_0307,dim_0308,dim_0309,dim_0310,dim_0311,dim_0312,dim_0313,dim_0314,dim_0315,dim_0316,dim_0317,dim_0318,dim_0319,dim_0320,dim_0321,dim_0322,dim_0323,dim_0324,dim_0325,dim_0326,dim_0327,dim_0328,dim_0329,dim_0330,dim_0331,dim_0332,dim_0333,dim_0334,dim_0335,dim_0336,dim_0337,dim_0338,dim_0339,dim_0340,dim_0341,dim_0342,dim_0343,dim_0344,dim_0345,dim_0346,dim_0347,dim_0348,dim_0349,dim_0350,dim_0351,dim_0352,dim_0353,dim_0354,dim_0355,dim_0356,dim_0357,dim_0358,dim_0359,dim_0360,dim_0361,dim_0362,dim_0363,dim_0364,dim_0365,dim_0366,dim_0367,dim_0368,dim_0369,dim_0370,dim_0371,dim_0372,dim_0373,dim_0374,dim_0375,dim_0376,dim_0377,dim_0378,dim_0379,dim_0380,dim_0381,dim_0382,dim_0383,dim_0384,dim_0385,dim_0386,dim_0387,dim_0388,dim_0389,dim_0390,dim_0391,dim_0392
401,C130,30,Monitor,Electronics,18500.0,2,2024-01-08,1,123,22.6578,2024,152,1,176,8.2049,2022,745,0,93,89.055,2021,615,0,368,5.8639,2023,622,0,198,58.6001,2019,47,0,489,54.928,2021,871,0,375,52.3668,2022,233,1,318,14.2836,2024,592,1,433,41.7529,2020,935,1,471,5.8712,2021,851,0,355,80.2094,2019,626,1,236,63.8216,2021,484,0,428,64.4314,2019,446,1,104,49.6581,2023,500,0,71,29.7861,2021,353,1,100,61.4805,2018,237,1,267,83.1843,2021,70,0,319,1.982,2022,729,0,379,6.6713,2019,421,0,408,14.6466,2023,208,1,201,28.4838,2023,136,0,485,16.0837,2018,532,1,183,67.1621,2022,892,1,466,5.2908,2023,35,0,480,90.219,2018,473,1,436,99.2768,2018,863,1,336,23.5451,2019,872,0,100,40.2421,2022,67,0,243,84.1431,2018,195,0,451,6.1121,2021,542,1,150,9.926,2021,816,1,210,92.2315,2019,470,1,428,28.4976,2019,874,0,157,87.1074,2019,48,0,332,26.8546,2020,110,0,294,36.1479,2020,428,1,426,5.526,2020,235,0,290,24.1107,2019,745,1,499,18.568,2018,494,1,246,81.428,2024,8,1,413,36.4303,2024,363,0,146,51.1389,2024,170,1,467,75.1767,2022,949,1,51,81.4889,2018,714,1,133,6.036,2018,304,1,115,21.549,2020,450,1,13,14.4934,2024,941,0,220,53.4918,2018,697,1,361,1.2975,2020,981,0,325,25.9336,2022,720,1,23,44.7849,2018,579,0,403,30.0502,2020,158,1,223,14.4828,2019,707,0,58,68.7795,2020,10,0,168,86.336,2019,580,1,233,87.7534,2021,554,0,429,19.7164,2022,866,1,220,3.6933,2021,381,1,387,69.223,2019,568,0,317,97.1287,2024,931,1,222,80.8092,2023,568,0,488,4.5514,2019,254,1,60,25.6277,2021,240,1,254,64.4252,2024,224,1,250,93.6697,2023,689,1,317,94.0421,2022,52,1,380,29.3441,2021,633,1,50,18.9402,2023,651,1,452,1.235,2018,300,1,72,41.9599,2021,473,0,356,14.2737,2019,433,0,434,26.3104,2023,167,1,279,80.3184,2023,864,1,258,79.838,2021,999,0,497,1.914,2018,547,1,54,40.4241,2020,23,1,343,13.3863,2023,807,0,22,77.511,2021,872,0,445
402,C131,45,Serum,Beauty,1100.0,3,2024-01-19,0,29,11.2991,2024,527,0,151,99.7281,2019,762,1,294,45.7429,2019,139,1,178,4.1705,2020,960,0,456,64.8436,2022,335,1,308,12.1544,2022,534,1,11,47.7808,2023,566,1,411,25.1362,2021,109,0,384,49.8643,2020,182,0,373,3.9599,2023,495,0,460,97.2634,2022,98,0,224,84.2711,2019,431,1,218,76.582,2019,110,1,432,31.5316,2021,26,0,41,12.2157,2021,324,1,51,0.0719,2024,893,0,472,81.2493,2019,467,0,208,45.7343,2019,233,1,472,11.9559,2020,913,0,445,18.1607,2022,698,1,238,90.2845,2024,235,1,115,94.3213,2019,579,1,134,45.3949,2023,977,0,246,64.1519,2021,60,1,199,45.5387,2022,336,0,283,65.3956,2019,790,1,389,19.4642,2024,722,1,282,36.7122,2018,824,0,14,85.2095,2023,789,0,310,31.1943,2019,328,1,232,90.6755,2018,805,1,265,28.0504,2024,405,0,169,16.4333,2018,755,0,107,73.3119,2019,605,0,28,70.9682,2021,588,0,299,0.4257,2020,724,0,52,16.7124,2022,16,0,26,18.461,2018,598,1,209,51.1396,2024,57,0,287,95.8226,2019,531,0,414,93.0922,2023,849,1,480,95.3307,2018,2,0,412,22.0019,2019,837,1,96,87.7352,2018,323,0,306,5.78,2019,43,1,308,2.7304,2020,26,0,184,87.0907,2019,20,1,262,77.0651,2019,249,0,241,7.9994,2023,734,1,473,63.4024,2022,930,1,79,0.0412,2018,887,0,199,39.1171,2024,664,0,84,75.8617,2023,543,0,489,91.5052,2023,310,1,340,96.0673,2023,465,1,260,78.3053,2020,332,1,459,11.0417,2020,115,0,445,67.9927,2020,53,0,50,54.4408,2024,343,1,368,2.1276,2023,866,1,114,57.335,2023,45,0,160,46.6561,2021,159,0,350,6.1672,2020,146,1,100,47.6325,2024,72,0,268,88.481,2023,145,0,274,28.1618,2023,681,0,413,7.9943,2018,813,1,20,91.0577,2021,246,1,24,70.9632,2018,726,1,401,99.2569,2021,706,0,106,18.7186,2021,934,0,379,9.289,2018,959,0,146,38.7768,2024,199,1,143,58.217,2019,926,1,3,95.6922,2018,158,1,389,75.0932,2022,892,0,272,35.3021,2023,995,1,250,75.3618,2020,914,1,110
403,C132,60,Workstation,Electronics,95000.0,1,2024-02-12,1,47,42.714,2021,9,0,436,16.2917,2024,764,0,167,91.2197,2024,282,0,71,85.4235,2024,68,0,106,65.9199,2019,548,1,211,22.366,2020,233,0,164,59.5803,2023,466,0,64,30.9181,2022,170,1,271,79.0221,2022,780,1,401,89.3017,2018,318,1,179,39.3874,2019,76,1,480,19.8423,2020,411,0,372,41.1074,2020,652,0,39,70.7117,2020,232,0,116,27.5355,2020,20,1,369,94.3381,2023,555,1,99,47.319,2018,397,1,448,86.8745,2019,320,1,315,18.2912,2024,951,0,127,44.5498,2019,723,1,431,42.7441,2023,88,0,283,10.8294,2019,386,1,222,34.0848,2023,953,1,441,21.2284,2021,398,1,98,46.647,2019,637,1,401,57.3556,2021,703,0,77,58.0077,2020,731,1,497,53.7273,2024,380,0,443,51.1824,2023,616,1,223,27.7785,2023,780,1,127,37.9729,2024,996,1,330,88.18,2021,845,0,79,98.1138,2019,974,1,207,87.3784,2024,442,0,159,71.488,2019,64,1,92,83.7223,2018,36,1,372,91.0575,2023,538,0,71,20.4355,2018,26,1,54,57.5166,2021,511,1,459,66.3906,2020,168,1,177,55.4834,2023,679,1,199,73.164,2024,303,0,327,69.2046,2023,907,0,346,44.691,2024,809,1,189,30.8422,2019,74,0,89,93.1111,2020,470,1,150,63.3282,2024,557,1,187,28.0697,2021,935,1,420,18.3574,2023,345,1,153,37.3078,2021,188,1,73,81.5536,2019,468,0,240,69.2473,2021,434,1,409,76.8679,2023,741,1,224,10.8205,2024,462,0,91,60.7351,2019,134,0,413,27.8491,2021,717,1,355,86.8212,2018,913,0,471,43.8288,2018,430,0,48,52.7364,2021,991,0,19,36.8383,2023,142,1,356,50.9879,2021,201,1,236,90.2847,2018,605,1,308,49.5281,2024,566,0,252,15.1072,2018,62,0,70,35.1858,2024,407,1,2,43.6596,2021,603,0,122,27.4913,2021,247,0,390,26.6006,2019,959,1,445,8.5122,2019,445,1,58,87.2463,2023,57,0,216,7.0348,2018,92,1,63,97.1628,2019,141,0,12,93.8023,2024,722,1,386,30.3609,2022,16,0,451,91.9243,2021,676,1,263,67.0188,2021,992,0,92,12.9781,2018,669,1,179,86.5065,2024,646,0,191
404,C133,30,Shoes,Fashion,3200.0,2,2024-02-20,1,162,89.2765,2019,755,1,299,75.6653,2024,992,1,253,94.9615,2024,818,1,125,30.0631,2018,74,1,491,24.1479,2022,535,1,464,93.0111,2024,906,0,447,91.9658,2018,575,0,169,89.4187,2022,520,0,179,16.5286,2021,320,1,2,75.9259,2021,600,0,226,47.6738,2019,690,1,213,39.1209,2023,859,1,282,79.5521,2022,2,0,208,83.5863,2018,397,0,352,48.2215,2024,754,1,466,0.6968,2019,906,1,81,64.5495,2018,794,0,450,65.7579,2024,775,1,218,54.0921,2020,787,1,292,96.516,2021,327,1,394,96.9474,2023,629,1,477,94.1845,2021,737,1,297,0.4444,2022,529,1,309,68.2438,2023,401,0,387,74.2714,2024,262,0,114,22.3563,2023,698,1,342,28.0711,2019,840,1,13,44.1694,2020,465,1,491,2.6137,2022,839,1,343,45.5204,2020,45,0,174,88.324,2024,127,0,474,7.8104,2019,373,1,80,43.092,2024,449,0,132,33.5015,2023,738,0,418,56.1347,2024,210,0,377,32.9468,2020,32,1,381,49.5031,2018,594,1,12,15.4404,2020,558,1,158,6.21,2023,141,1,61,48.6048,2023,47,1,77,17.7402,2021,469,1,389,95.5585,2023,465,1,384,54.5808,2023,320,1,467,14.5694,2023,65,0,279,17.0002,2019,498,0,70,6.4716,2022,645,1,324,26.1433,2021,16,1,212,65.5122,2020,585,1,221,6.7502,2024,747,0,151,69.7436,2018,183,0,256,6.051,2023,446,1,446,62.9852,2023,498,0,218,52.2401,2023,293,1,250,52.2804,2018,431,0,114,52.9922,2024,761,1,243,56.7069,2018,844,0,46,76.2477,2019,528,0,184,52.228,2018,673,0,258,31.2558,2021,395,0,104,80.4519,2023,235,0,220,54.5223,2021,147,1,18,69.3036,2020,138,1,215,80.7792,2022,590,1,378,68.7228,2023,619,1,262,16.4702,2023,486,0,422,68.9975,2021,7,1,181,65.0755,2018,418,0,39,60.1489,2018,816,0,248,75.8667,2020,238,0,333,4.6736,2020,294,1,415,11.2811,2022,581,0,191,88.7794,2024,486,1,395,71.4436,2019,490,1,41,82.8742,2023,930,1,55,80.0123,2024,547,0,247,9.7451,2020,532,0,359,3.4564,2023,336,1,280,65.8915,2024,144,1,72
405,C134,90,Headphones,Electronics,8000.0,2,2024-03-05,0,265,71.8898,2024,846,1,292,81.1799,2020,186,1,388,84.7199,2020,959,1,30,79.3659,2022,507,0,393,4.2389,2023,318,0,64,96.7308,2020,152,0,287,99.6766,2024,345,0,158,92.2447,2023,776,1,209,70.6459,2023,918,0,12,42.8658,2021,596,0,283,2.2761,2019,585,1,165,19.2569,2022,557,0,404,43.2429,2023,262,1,404,7.1317,2019,91,1,237,38.8495,2022,659,1,479,36.5177,2022,884,1,496,16.6216,2023,451,0,216,3.0805,2020,880,1,469,86.6347,2018,108,1,291,35.6642,2023,467,0,365,63.0225,2019,886,0,1,52.8901,2024,881,1,343,73.0891,2022,198,0,60,94.8786,2018,463,1,132,89.0276,2021,680,0,418,64.7971,2019,48,1,495,32.5837,2021,612,1,374,3.6041,2023,676,0,83,87.8541,2020,387,0,11,25.009,2023,377,1,479,7.8106,2018,525,0,307,84.7469,2021,226,0,455,90.6137,2019,277,1,326,23.8735,2022,478,0,155,43.203,2022,878,0,449,72.2503,2024,82,0,193,97.9875,2020,915,0,387,10.2863,2024,748,1,220,30.7576,2018,895,1,57,40.8812,2022,59,1,252,1.434,2021,573,0,412,39.3946,2021,608,0,163,49.505,2022,207,0,203,15.1097,2018,456,1,155,75.8981,2022,677,1,254,58.4507,2022,29,0,2,68.4925,2021,900,1,167,63.1309,2018,428,1,260,84.5444,2024,128,0,289,18.1263,2023,134,0,265,5.0386,2022,985,1,59,33.5866,2024,346,1,91,93.5597,2023,588,0,103,5.1409,2020,248,0,41,92.8819,2019,555,0,391,36.6055,2019,896,0,466,5.5255,2024,347,1,493,89.4587,2018,593,1,293,65.9521,2018,495,1,121,14.9704,2021,126,1,397,48.5795,2024,429,1,422,78.0612,2023,605,0,492,8.0854,2021,91,1,460,99.7837,2022,340,0,411,25.0686,2024,425,1,20,20.1205,2020,877,0,140,6.3381,2021,357,1,441,54.5731,2021,560,1,296,15.0743,2020,880,1,316,21.7833,2021,873,1,232,74.9316,2023,701,0,272,7.7791,2020,186,0,327,50.7167,2024,910,0,36,48.2355,2022,922,0,286,80.3627,2024,788,1,175,99.0117,2020,932,0,310,96.5513,2018,762,1,98,45.1042,2022,928,1,499
406,C135,75,Desk,Home,12000.0,1,2024-03-18,1,326,6.9968,2022,570,0,312,23.88,2024,167,0,4,71.1985,2019,872,1,491,73.419,2024,626,1,498,10.633,2021,483,0,223,34.2597,2020,932,0,495,91.8562,2019,825,0,218,72.1691,2018,373,0,453,91.4978,2019,78,0,358,64.0517,2021,792,1,101,9.7654,2021,141,0,173,88.3355,2019,147,0,414,86.7129,2020,619,1,458,4.2352,2024,96,1,416,33.1595,2022,751,0,483,28.4169,2021,137,0,286,61.6459,2019,907,0,236,80.2235,2022,654,1,179,79.9477,2023,608,1,279,19.7535,2023,163,0,186,73.1922,2018,220,0,285,33.077,2022,135,0,298,97.5929,2022,747,0,61,10.3404,2021,859,0,88,94.0439,2020,749,0,152,39.199,2019,656,0,498,31.1881,2024,192,0,344,49.1334,2022,831,1,373,4.9071,2023,338,0,422,62.8688,2020,97,1,5,74.7235,2019,572,1,32,33.9786,2018,800,0,203,68.7313,2022,994,1,228,4.1149,2019,548,0,123,55.1445,2024,662,0,436,42.7386,2024,815,1,161,63.3442,2020,243,0,42,31.6637,2018,376,0,462,34.0854,2018,220,0,73,14.9649,2018,356,0,423,44.2479,2023,113,0,227,47.9252,2023,38,1,274,90.9225,2022,512,1,436,87.1975,2019,882,1,84,49.3552,2018,874,0,17,31.6463,2019,212,1,104,16.9701,2022,855,0,379,71.3009,2023,772,0,465,94.2951,2024,846,1,24,46.4478,2018,934,0,496,11.8771,2024,176,0,78,26.0189,2020,854,1,79,72.8541,2024,109,1,361,0.8273,2018,249,1,41,37.164,2021,582,1,157,74.9996,2023,276,1,471,71.9424,2019,146,1,123,13.7357,2020,677,0,53,74.4885,2024,462,1,354,24.1914,2018,841,0,434,9.7381,2019,856,1,275,6.1589,2018,81,1,411,96.4072,2022,263,0,224,20.8499,2021,333,0,422,40.6694,2021,647,1,57,23.0667,2022,746,0,276,11.5317,2022,423,0,135,8.6481,2023,474,1,8,32.7241,2019,513,1,401,2.8736,2021,165,1,103,11.84,2020,246,0,322,79.4095,2021,505,1,275,73.7156,2023,903,0,413,5.5315,2022,267,0,145,65.4113,2019,785,1,98,14.0724,2022,288,1,230,43.8475,2024,532,0,410,35.295,2022,134,1,126
407,C136,30,Tablet,Electronics,,1,2024-04-02,0,34,45.6125,2022,388,1,269,74.9081,2022,18,0,404,87.0686,2020,174,0,493,4.8469,2019,766,1,23,64.5625,2018,800,0,233,51.4506,2018,300,1,270,67.0545,2024,475,0,204,11.0141,2021,955,1,258,52.671,2023,43,1,313,55.7647,2018,260,1,310,68.8055,2018,635,0,194,33.3327,2019,648,0,256,7.3639,2023,447,0,325,14.6176,2022,182,0,343,1.5572,2023,283,1,413,33.6834,2024,948,1,63,91.395,2023,236,1,280,36.4405,2021,649,1,473,79.3618,2021,777,1,379,53.6179,2019,353,1,349,35.8857,2022,148,0,273,62.1779,2024,888,1,462,71.9382,2024,486,1,498,48.7493,2019,255,0,129,81.5038,2022,100,1,14,41.3644,2018,872,0,100,8.1789,2021,982,1,424,0.9585,2022,134,0,389,0.3585,2022,739,1,73,0.2459,2020,94,0,333,82.5791,2021,138,1,392,81.782,2019,490,0,404,85.7758,2023,491,1,60,77.4271,2021,782,0,439,18.7975,2024,879,1,48,81.9548,2018,468,1,180,62.9521,2024,52,1,244,75.8066,2022,881,0,118,97.3721,2024,956,1,416,12.3134,2020,89,0,152,97.0545,2019,32,0,15,83.0262,2022,413,1,316,18.4396,2018,284,1,220,75.5864,2022,0,1,285,11.2657,2024,903,0,33,19.4281,2019,718,0,482,23.9393,2023,669,0,360,12.3694,2018,527,0,21,71.4861,2020,507,1,338,66.525,2022,827,0,311,27.2059,2019,112,1,383,73.3665,2021,862,1,311,49.1481,2019,564,0,259,28.924,2024,647,1,373,17.3233,2022,458,1,273,91.4982,2018,475,0,74,46.5692,2020,787,0,34,54.3874,2023,129,1,295,39.743,2020,493,1,477,68.1593,2024,955,1,326,32.5647,2022,139,0,396,29.1912,2022,462,1,438,11.486,2019,434,0,404,20.8995,2023,780,1,93,77.9134,2018,191,0,396,66.4161,2023,832,0,329,40.323,2022,27,1,297,73.5384,2020,942,0,85,61.0868,2020,772,0,323,28.0289,2019,872,0,167,31.3905,2019,407,1,11,56.3049,2023,310,0,277,96.3444,2020,18,1,59,28.6851,2021,160,0,204,43.7276,2021,82,1,218,5.7777,2022,409,0,337,5.8318,2022,195,0,341,28.0491,2022,44,0,323
408,C137,60,Racket,Sports,2100.0,1,2024-04-14,0,345,53.8047,2018,442,1,50,88.4471,2021,483,0,308,35.0699,2022,238,1,440,41.8442,2021,228,1,212,9.6227,2018,767,1,156,90.9802,2023,581,1,430,51.8984,2018,749,0,419,11.4967,2018,363,0,297,1.1168,2023,208,0,220,12.3311,2021,389,1,138,5.3971,2019,291,0,363,84.3403,2023,840,0,72,80.7577,2020,542,0,207,34.2227,2022,36,0,417,9.2095,2021,89,1,198,79.117,2021,579,0,447,32.4947,2021,719,0,207,60.0091,2018,825,1,37,34.7917,2022,650,1,408,75.7903,2022,598,1,428,60.2616,2019,558,1,108,24.5513,2018,507,1,465,10.6033,2018,552,0,223,22.1366,2024,879,0,464,86.5524,2020,621,1,434,68.9897,2020,175,1,33,22.1585,2021,56,0,176,87.5468,2024,256,0,250,37.4572,2022,87,0,103,96.597,2024,277,1,411,24.1213,2022,66,1,7,9.0394,2024,241,1,318,55.5301,2023,958,0,125,82.5649,2023,245,1,443,20.5493,2024,525,1,259,87.2666,2024,119,0,230,43.0567,2019,555,1,302,83.0474,2022,248,1,231,92.223,2019,653,0,317,49.7177,2023,792,1,300,44.3207,2019,799,0,430,79.8385,2024,795,1,259,75.9751,2020,293,1,231,87.7181,2021,743,1,242,77.878,2022,269,1,89,72.1793,2019,328,0,212,17.8062,2021,876,1,76,97.1451,2019,538,0,336,45.0808,2020,525,0,373,90.4273,2022,682,0,399,3.7138,2018,687,0,368,65.8513,2023,271,0,128,91.3319,2018,699,1,137,32.1899,2018,41,1,298,44.8005,2023,899,1,466,24.3056,2018,932,0,422,8.0967,2018,519,0,215,67.2145,2022,6,1,211,11.5208,2022,857,1,291,62.7859,2020,567,1,39,98.6302,2022,826,1,340,17.4253,2022,702,0,356,86.0943,2022,492,0,139,97.1239,2022,246,1,130,66.4168,2023,336,1,189,76.3234,2018,418,1,189,78.9622,2024,522,0,86,38.4808,2018,969,1,54,89.6083,2018,24,0,458,15.6253,2021,360,0,362,83.8866,2023,68,0,3,50.1049,2021,50,1,392,61.4556,2024,350,0,86,58.6488,2020,13,1,30,60.0645,2018,381,0,131,18.4742,2023,34,1,249,68.669,2020,47,1,66,82.3491,2024,568,1,422
409,C138,30,Phone,Electronics,42000.0,1,2024-04-30,0,28,81.0418,2021,336,0,439,32.0166,2020,670,0,494,99.5758,2018,826,1,454,11.1707,2022,633,0,484,80.8464,2022,410,0,44,38.6163,2024,885,1,433,13.4064,2021,718,1,410,67.9788,2018,910,0,298,3.0805,2023,26,1,263,49.855,2020,731,1,186,59.7847,2018,202,1,59,29.1723,2023,243,1,168,9.4579,2023,485,1,384,62.7176,2022,652,0,146,85.8191,2024,80,0,75,79.535,2019,227,0,450,46.9443,2018,177,0,344,20.7373,2020,18,0,204,84.5566,2020,661,0,481,48.1941,2024,843,1,325,22.4724,2024,706,1,333,55.3777,2018,54,1,190,29.8997,2018,618,0,183,65.6891,2024,155,1,70,97.9444,2024,713,0,36,74.1111,2018,633,0,328,45.8999,2022,510,1,97,40.3378,2024,315,0,137,56.7215,2023,987,1,8,98.7706,2022,295,0,195,63.0756,2020,312,1,300,61.8301,2024,383,0,323,82.1514,2023,82,0,24,3.8978,2018,696,0,319,33.6178,2022,566,1,424,9.3946,2021,589,1,137,67.7976,2023,805,1,206,58.7303,2020,451,1,335,7.1261,2018,683,1,467,61.7015,2018,680,0,316,54.7042,2019,852,0,465,95.1119,2019,528,1,255,0.314,2018,79,0,30,7.0625,2019,170,0,6,75.7246,2019,171,0,242,61.0947,2024,158,1,203,9.6113,2021,914,1,392,83.157,2023,467,1,418,47.3461,2020,314,1,459,45.4705,2024,514,1,296,62.3586,2019,339,1,42,45.3853,2021,442,0,412,12.8116,2021,555,0,441,17.6442,2021,34,1,232,37.5141,2020,83,0,45,59.0909,2022,385,1,214,34.9449,2019,896,1,395,99.9074,2018,997,0,329,92.5319,2024,142,0,25,30.1564,2023,449,0,138,41.3301,2018,48,1,114,40.1331,2019,804,1,473,29.8372,2022,878,0,23,6.5054,2023,661,1,90,55.0495,2024,765,1,311,45.664,2023,516,1,392,59.4806,2020,441,1,243,98.4585,2020,795,1,317,27.115,2019,268,1,21,34.08,2022,716,0,160,89.1934,2022,341,1,89,78.6573,2022,77,0,128,41.357,2020,759,0,70,17.6641,2018,410,0,491,61.1375,2024,402,0,16,89.4472,2019,242,0,380,46.1075,2022,603,0,15,95.6966,2022,831,0,234
409,C138,30,Phone,Electronics,42000.0,1,2024-04-30,1,175,47.8909,2020,611,1,473,90.2784,2022,833,1,124,70.9068,2022,488,1,468,20.5395,2019,619,1,126,25.8798,2019,169,1,421,28.3051,2024,470,1,17,97.1131,2022,306,0,266,34.547,2019,429,0,51,71.3708,2019,834,0,135,40.0189,2020,759,0,286,42.525,2024,720,1,338,46.8454,2023,359,1,258,1.7105,2019,466,1,278,98.0003,2023,780,1,11,33.4572,2022,116,1,205,80.8125,2023,200,1,389,41.8102,2024,384,0,325,52.6488,2020,643,0,455,73.209,2021,513,0,19,14.5411,2021,997,0,356,26.0389,2024,596,1,460,12.6803,2023,763,0,59,43.8155,2024,229,0,431,69.5826,2020,910,1,104,30.4319,2022,959,0,154,47.6105,2023,714,1,255,92.996,2022,576,0,460,70.8354,2018,788,1,247,31.4986,2024,392,0,384,70.3137,2021,241,0,294,18.2568,2022,136,1,445,38.6077,2018,252,0,230,13.3165,2021,294,1,311,83.0984,2021,540,1,443,79.7123,2020,799,1,69,12.5775,2019,608,0,308,7.2491,2022,308,0,67,96.6011,2019,674,1,22,69.888,2020,792,1,381,61.8054,2021,118,1,83,93.5701,2023,306,1,198,53.8888,2021,120,0,381,8.7815,2018,604,0,444,50.7793,2022,545,0,380,46.1159,2022,626,1,418,42.9566,2024,760,1,429,16.2267,2024,31,1,315,20.2078,2018,749,0,476,41.3417,2023,725,1,192,3.1781,2020,21,0,314,55.1035,2024,855,1,168,83.1635,2019,747,0,428,37.8447,2022,721,1,281,16.685,2022,397,1,11,4.7573,2023,505,1,164,77.0009,2019,459,0,64,53.6161,2024,262,1,483,99.8908,2023,445,0,32,29.809,2023,774,1,91,9.6685,2022,818,1,18,4.8924,2024,86,0,461,74.0223,2018,492,0,147,27.4888,2022,544,1,103,23.2578,2022,697,1,213,4.3644,2019,79,1,469,78.6619,2018,169,0,144,37.4449,2019,571,1,60,55.8521,2021,314,0,335,41.7154,2021,193,1,160,76.4496,2022,776,1,200,11.0284,2021,545,0,246,6.0762,2024,390,0,10,10.3323,2022,708,1,81,53.584,2019,596,1,188,80.0292,2024,702,1,43,78.7573,2022,867,1,176,86.0708,2021,6,0,184,20.2184,2020,447,1,107
