OrderID,CustomerID,ExpiryDays,Product,Category,Price,Quantity,OrderDate,dim_0001,dim_0002,dim_0003,dim_0004,dim_0005,dim_0006,dim_0007,dim_0008,dim_0009,dim_0010,dim_0011,dim_0012,dim_0013,dim_0014,dim_0015,dim_0016,dim_0017,dim_0018,dim_0019,dim_0020,dim_0021,dim_0022,dim_0023,dim_0024,dim_0025,dim_0026,dim_0027,dim_0028,dim_0029,dim_0030,dim_0031,dim_0032,dim_0033,dim_0034,dim_0035,dim_0036,dim_0037,dim_0038,dim_0039,dim_0040,dim_0041,dim_0042,dim_0043,dim_0044,dim_0045,dim_0046,dim_0047,dim_0048,dim_0049,dim_0050,dim_0051,dim_0052,dim_0053,dim_0054,dim_0055,dim_0056,dim_0057,dim_0058,dim_0059,dim_0060,dim_0061,dim_0062,dim_0063,dim_0064,dim_0065,dim_0066,dim_0067,dim_0068,dim_0069,dim_0070,dim_0071,dim_0072,dim_0073,dim_0074,dim_0075,dim_0076,dim_0077,dim_0078,dim_0079,dim_0080,dim_0081,dim_0082,dim_0083,dim_0084,dim_0085,dim_0086,dim_0087,dim_0088,dim_0089,dim_0090,dim_0091,dim_0092,dim_0093,dim_0094,dim_0095,dim_0096,dim_0097,dim_0098,dim_0099,dim_0100,dim_0101,dim_0102,dim_0103,dim_0104,dim_0105,dim_0106,dim_0107,dim_0108,dim_0109,dim_0110,dim_0111,dim_0112,dim_0113,dim_0114,dim_0115,dim_0116,dim_0117,dim_0118,dim_0119,dim_0120,dim_0121,dim_0122,dim_0123,dim_0124,dim_0125,dim_0126,dim_0127,dim_0128,dim_0129,dim_0130,dim_0131,dim_0132,dim_0133,dim_0134,dim_0135,dim_0136,dim_0137,dim_0138,dim_0139,dim_0140,dim_0141,dim_0142,dim_0143,dim_0144,dim_0145,dim_0146,dim_0147,dim_0148,dim_0149,dim_0150,dim_0151,dim_0152,dim_0153,dim_0154,dim_0155,dim_0156,dim_0157,dim_0158,dim_0159,dim_0160,dim_0161,dim_0162,dim_0163,dim_0164,dim_0165,dim_0166,dim_0167,dim_0168,dim_0169,dim_0170,dim_0171,dim_0172,dim_0173,dim_0174,dim_0175,dim_0176,dim_0177,dim_0178,dim_0179,dim_0180,dim_0181,dim_0182,dim_0183,dim_0184,dim_0185,dim_0186,dim_0187,dim_0188,dim_0189,dim_0190,dim_0191,dim_0192,dim_0193,dim_0194,dim_0195,dim_0196,dim_0197,dim_0198,dim_0199,dim_0200,dim_0201,dim_0202,dim_0203,dim_0204,dim_0205,dim_0206,dim_0207,dim_0208,dim_0209,dim_0210,dim_0211,dim_0212,dim_0213,dim_0214,dim_0215,dim_0216,dim_0217,dim_0218,dim_0219,dim_0220,dim_0221,dim_0222,dim_0223,dim_0224,dim_0225,dim_0226,dim_0227,dim_0228,dim_0229,dim_0230,dim_0231,dim_0232,dim_0233,dim_0234,dim_0235,dim_0236,dim_0237,dim_0238,dim_0239,dim_0240,dim_0241,dim_0242,dim_0243,dim_0244,dim_0245,dim_0246,dim_0247,dim_0248,dim_0249,dim_0250,dim_0251,dim_0252,dim_0253,dim_0254,dim_0255,dim_0256,dim_0257,dim_0258,dim_0259,dim_0260,dim_0261,dim_0262,dim_0263,dim_0264,dim_0265,dim_0266,dim_0267,dim_0268,dim_0269,dim_0270,dim_0271,dim_0272,dim_0273,dim_0274,dim_0275,dim_0276,dim_0277,dim_0278,dim_0279,dim_0280,dim_0281,dim_0282,dim_0283,dim_0284,dim_0285,dim_0286,dim_0287,dim_0288,dim_0289,dim_0290,dim_0291,dim_0292,dim_0293,dim_0294,dim_0295,dim_0296,dim_0297,dim_0298,dim_0299,dim_0300,dim_0301,dim_0302,dim_0303,dim_0304,dim_0305,dim_0306,dim_0307,dim_0308,dim_0309,dim_0310,dim_0311,dim_0312,dim_0313,dim_0314,dim_0315,dim_0316,dim_0317,dim_0318,dim_0319,dim_0320,dim_0321,dim_0322,dim_0323,dim_0324,dim_0325,dim_0326,dim_0327,dim_0328,dim_0329,dim_0330,dim_0331,dim_0332,dim_0333,dim_0334,dim_0335,dim_0336,dim_0337,dim_0338,dim_0339,dim_0340,dim_0341,dim_0342,dim_0343,dim_0344,dim_0345,dim_0346,dim_0347,dim_0348,dim_0349,dim_0350,dim_0351,dim_0352,dim_0353,dim_0354,dim_0355,dim_0356,dim_0357,dim_0358,dim_0359,dim_0360,dim_0361,dim_0362,dim_0363,dim_0364,dim_0365,dim_0366,dim_0367,dim_0368,dim_0369,dim_0370,dim_0371,dim_0372,dim_0373,dim_0374,dim_0375,dim_0376,dim_0377,dim_0378,dim_0379,dim_0380,dim_0381,dim_0382,dim_0383,dim_0384,dim_0385,dim_0386,dim_0387,dim_0388,dim_0389,dim_0390,dim_0391,dim_0392
301,C020,45,Camera,Electronics,42500.0,1,2024-01-06,1,54,75.3739,2023,699,1,305,58.4566,2021,684,1,417,87.4468,2022,305,0,409,66.5334,2023,214,1,347,63.3961,2024,76,1,123,54.8351,2018,843,0,400,85.2639,2020,895,1,34,80.0559,2020,813,1,227,67.9788,2021,887,1,200,91.4978,2023,208,1,358,89.3017,2018,495,0,410,55.1762,2023,88,0,359,33.0132,2021,480,1,180,53.3545,2022,305,1,2,25.6145,2022,616,1,334,65.2375,2023,511,1,145,2.0443,2023,408,0,28,44.3295,2023,160,0,387,16.9309,2020,430,0,374,20.7373,2023,746,1,3,79.9477,2020,650,1,279,44.5498,2019,698,1,431,62.4852,2022,690,0,154,0.1635,2020,98,1,381,7.0746,2019,444,1,265,55.9868,2023,610,1,492,15.5929,2019,962,0,94,63.7886,2022,307,1,26,28.9301,2022,684,0,158,92.3911,2022,978,0,172,40.3378,2021,272,0,32,4.9071,2023,87,1,422,27.7785,2023,328,1,114,60.8744,2024,462,1,110,61.4745,2020,183,0,126,44.2648,2018,758,0,225,24.3231,2021,70,0,44,24.5924,2020,937,0,268,58.8934,2023,849,1,357,0.108,2022,745,1,175,34.6785,2023,524,0,393,83.0474,2018,825,1,379,30.7576,2019,956,0,57,95.8226,2019,8,0,494,16.627,2020,734,1,356,77.7966,2018,539,0,264,88.8027,2019,635,1,453,13.2315,2023,377,0,223,74.3825,2020,434,1,132,4.3843,2023,483,1,102,15.3093,2022,299,1,449,4.82,2024,791,1,333,97.1451,2024,403,1,199,84.5444,2020,507,1,289,63.4024,2022,720,1,48,62.7412,2022,922,1,380,89.3062,2019,222,0,221,9.5306,2023,74,1,371,80.4072,2023,267,0,46,4.1763,2018,70,0,362,46.5466,2022,88,0,196,11.4459,2018,710,1,341,31.2831,2024,313,0,458,67.2145,2021,130,1,338,65.9521,2022,493,1,121,2.1276,2023,931,0,377,3.4745,2018,152,0,271,3.5433,2022,596,0,402,73.0773,2023,257,1,283,12.4307,2020,774,1,306,24.6699,2023,2,1,417,14.5921,2021,622,1,498,77.5319,2021,244,0,318,97.9624,2021,239,1,105,38.4808,2024,860,1,469,15.0743,2018,772,1,316,99.2569,2021,473,0,338,39.9045,2024,412,1,249
302,C021,30,Moisturiser,Beauty,720.0,2,2024-01-20,0,123,22.6578,2021,116,0,175,53.7339,2023,262,1,99,18.5698,2024,995,0,479,64.0496,2018,734,1,122,84.1202,2018,659,0,291,31.8463,2024,214,1,142,90.3383,2019,573,0,335,11.7731,2021,282,1,447,34.547,2023,466,1,209,52.671,2019,26,0,313,75.9259,2021,318,0,355,80.2094,2020,274,1,24,38.7036,2020,260,0,299,85.6753,2023,94,0,131,53.9089,2021,42,0,411,22.098,2022,275,0,497,65.9815,2019,534,0,404,72.3343,2021,993,1,457,13.0438,2024,411,1,329,52.6488,2024,839,1,34,79.3618,2021,661,1,379,96.516,2021,723,1,201,28.4838,2019,161,0,209,54.6238,2022,226,1,487,36.492,2018,298,1,100,23.3502,2018,103,0,162,38.4617,2019,466,1,460,68.0748,2024,430,1,238,74.1567,2020,991,0,41,19.3653,2021,134,0,221,70.8354,2022,842,1,420,0.3585,2024,987,0,73,45.5204,2020,780,1,150,9.926,2019,702,0,418,78.507,2023,967,0,205,85.6201,2021,821,1,139,52.7624,2024,41,1,248,54.0101,2019,709,0,82,21.0916,2020,136,0,47,54.5093,2021,762,0,317,78.919,2020,664,1,102,58.7303,2021,844,0,34,34.0854,2018,653,1,73,66.3906,2020,531,1,453,98.8982,2021,186,0,191,45.4332,2021,754,0,60,86.5166,2022,759,1,161,32.952,2018,151,1,104,54.5322,2019,57,0,109,49.8538,2024,837,0,305,99.2013,2018,648,0,85,87.1028,2018,594,0,141,83.157,2022,611,0,188,94.2951,2020,525,1,24,37.3078,2021,930,1,399,5.0934,2022,278,0,385,15.475,2019,801,1,373,18.6287,2023,913,1,147,15.4229,2020,51,0,237,39.7893,2018,960,0,101,76.1046,2022,327,1,295,58.3205,2019,91,0,359,11.3296,2019,776,0,219,99.9074,2022,388,0,122,74.4885,2024,857,1,354,36.8383,2023,866,1,166,76.7114,2020,587,1,394,55.0105,2018,304,0,246,15.5821,2021,860,0,295,68.3735,2024,997,0,406,69.7741,2023,884,1,434,48.61,2022,938,1,228,82.6348,2018,361,0,58,56.6793,2021,511,0,133,98.4585,2023,710,0,8,32.7241,2019,24,0,401,87.2463,2023,706,0,74,24.0179,2024,210,0,115
303,C022,90,Sofa,Home,18800.0,1,2024-02-10,1,29,11.2991,2019,471,0,369,87.9216,2022,963,1,235,33.4647,2019,777,0,436,55.1259,2024,199,1,267,28.2215,2020,673,1,393,80.0632,2022,690,1,404,87.1558,2023,990,1,464,25.4842,2024,318,1,107,93.7307,2020,866,0,329,1.1168,2019,834,1,220,42.8658,2021,600,1,460,97.2634,2021,69,0,187,11.7391,2021,408,0,103,74.3899,2020,590,1,310,20.2072,2019,208,1,163,35.2033,2023,470,0,306,28.3732,2018,748,1,124,23.732,2024,571,0,400,24.3749,2019,96,1,102,49.7094,2022,781,0,378,34.7917,2021,513,0,408,35.6642,2023,327,1,238,90.2845,2020,873,1,221,66.6084,2022,249,1,488,44.3529,2022,101,1,373,29.6182,2020,527,1,218,90.6092,2024,99,1,224,10.0628,2021,438,0,370,86.3754,2018,996,1,10,91.7173,2019,828,1,267,46.6497,2023,332,1,462,37.4572,2022,392,1,103,25.009,2023,45,1,232,90.6755,2018,342,0,365,60.0315,2023,465,0,265,15.8295,2022,440,1,497,45.6478,2022,815,0,471,20.6832,2024,743,1,499,66.244,2022,248,1,469,74.2975,2022,385,0,264,30.32,2023,96,0,347,96.6011,2023,552,0,293,97.3721,2020,683,0,416,48.6048,2023,168,0,413,36.4303,2019,266,0,91,86.1215,2018,78,0,374,82.4235,2018,771,1,104,83.4673,2020,831,1,320,91.2568,2021,589,1,122,87.4121,2019,325,0,432,97.5049,2022,2,1,491,55.161,2022,711,1,13,20.2078,2020,527,1,117,71.4861,2023,314,0,338,69.7436,2018,188,1,23,44.7849,2020,98,0,211,73.7256,2024,910,0,331,16.7001,2021,438,1,294,14.1893,2019,720,1,357,30.7807,2023,126,0,431,58.2422,2021,125,1,5,42.9786,2022,933,1,9,88.284,2019,759,1,175,99.8908,2022,114,0,187,39.743,2023,142,1,477,80.4519,2023,142,1,222,80.8092,2019,614,0,298,68.0945,2021,431,0,6,69.9958,2019,474,1,46,24.0007,2018,577,1,345,83.8325,2019,466,0,423,64.7166,2022,672,0,263,66.9145,2018,279,1,133,45.8577,2022,823,0,233,55.8521,2021,343,1,498,61.0868,2021,268,0,323,4.6736,2020,57,0,356,14.2737,2024,732,0,84
304,C023,75,Racket,Sports,1820.0,2,2024-02-14,1,47,42.714,2020,312,0,438,19.4635,2024,870,1,354,77.6051,2023,709,1,88,90.7177,2018,48,0,311,63.1296,2024,241,1,245,41.0682,2020,549,0,120,23.3109,2023,541,1,259,3.6265,2022,635,1,461,55.3715,2024,122,0,249,3.0805,2024,821,0,263,64.0517,2021,596,0,179,39.3874,2023,889,0,82,54.0554,2023,846,0,423,80.7724,2021,17,0,224,52.9675,2020,146,1,250,26.7396,2020,482,1,319,8.0667,2023,614,0,14,55.5247,2021,125,0,163,47.4782,2018,639,0,16,25.6543,2022,505,1,60,84.5566,2020,2,0,481,19.7535,2023,467,1,431,42.7441,2022,956,1,342,62.1249,2019,542,0,349,68.7099,2023,438,0,243,27.0909,2022,487,1,18,28.0433,2018,742,1,165,71.3714,2023,992,0,425,70.3823,2024,199,1,111,46.0826,2021,198,1,18,2.7541,2018,870,0,426,56.7215,2019,968,0,8,62.8688,2020,377,0,127,37.9729,2024,713,0,431,13.9674,2018,261,1,232,91.0177,2024,133,1,246,95.9976,2023,774,0,25,19.1692,2024,714,0,292,52.555,2022,344,1,63,72.434,2021,320,0,315,89.8031,2019,517,0,78,30.1199,2020,731,0,93,92.223,2021,792,1,317,40.8812,2022,47,1,414,93.0922,2024,146,1,248,39.563,2023,861,0,313,76.7891,2021,3,0,256,12.463,2023,871,0,200,98.955,2021,308,1,330,26.9515,2022,313,1,215,2.6928,2019,206,1,120,85.0633,2019,220,1,327,28.4076,2023,573,0,7,45.0808,2022,725,1,373,18.1263,2023,183,1,79,0.0412,2021,209,1,252,33.5353,2023,556,1,384,43.6743,2021,128,0,55,33.4484,2022,8,1,322,44.6948,2022,607,0,139,89.972,2021,518,0,385,33.2375,2020,943,0,233,39.8259,2022,16,1,261,20.2355,2022,782,1,346,11.5208,2022,774,0,291,14.9704,2021,235,1,114,57.335,2018,107,1,22,92.3611,2020,50,0,254,43.0767,2023,298,0,132,36.9529,2022,208,1,7,6.3694,2019,351,1,468,33.6908,2021,587,0,393,68.1358,2021,551,0,202,66.5348,2022,47,0,301,55.3138,2021,663,0,7,89.6083,2018,193,1,458,21.7833,2021,294,0,106,18.7186,2018,598,0,364
305,C024,60,Laptop,Electronics,61500.0,1,2024-03-09,0,162,89.2765,2024,683,1,17,8.2049,2023,296,1,168,80.8305,2024,824,0,119,73.5733,2018,754,1,480,95.2648,2019,289,0,55,18.531,2024,545,0,269,15.2606,2024,860,0,66,58.8683,2021,821,1,313,66.2604,2020,928,1,406,71.3708,2019,853,1,135,55.7647,2018,792,0,226,47.6738,2019,138,1,453,63.8216,2022,581,1,162,51.2769,2020,78,1,271,20.7859,2020,586,0,14,71.041,2018,97,0,359,77.9182,2024,799,0,2,88.4798,2019,895,1,52,97.5301,2024,416,1,463,99.9777,2023,524,0,360,73.209,2024,398,0,19,53.6179,2019,163,0,394,96.9474,2023,694,1,473,16.0837,2020,959,1,382,92.4716,2024,100,0,276,93.1951,2022,23,0,31,43.0362,2019,287,0,346,90.9689,2019,410,0,55,4.8737,2018,64,0,239,61.5046,2022,565,1,198,38.6482,2019,350,1,91,31.4986,2023,174,1,384,0.2459,2020,97,1,174,88.324,2021,293,0,363,92.2315,2020,465,0,236,80.8868,2020,831,1,479,31.4024,2023,765,1,284,37.7957,2022,980,0,462,79.9134,2019,241,0,26,3.2444,2018,359,0,280,75.8613,2020,580,1,410,6.3912,2024,456,0,94,7.1261,2021,547,1,467,14.9649,2018,59,1,177,55.4834,2023,784,1,195,99.6502,2020,808,0,62,54.8141,2022,762,0,142,19.2626,2020,278,0,357,79.7807,2018,145,1,1,62.6761,2019,327,0,51,64.5489,2019,965,0,369,44.4957,2023,439,0,37,45.6321,2021,259,1,211,47.3461,2024,835,1,459,46.4478,2018,134,0,73,81.5536,2021,957,0,93,30.1892,2018,813,0,144,15.6662,2018,766,0,282,48.2179,2019,3,1,6,30.3385,2021,459,0,285,50.5273,2023,765,0,317,84.4094,2019,146,0,65,24.2266,2018,439,0,16,0.4916,2018,322,1,342,92.5319,2021,876,1,25,24.1914,2018,126,0,356,50.9879,2018,978,0,455,24.2767,2024,404,1,126,82.2161,2022,197,1,217,83.6948,2023,311,1,113,31.8553,2019,114,0,234,7.9824,2018,833,1,184,0.75,2024,657,1,336,29.6457,2024,98,1,381,24.3893,2024,709,1,380,27.115,2020,356,1,21,2.8736,2021,873,1,216,7.0348,2023,437,0,214
306,C025,30,Jeans,Fashion,1490.0,3,2024-03-20,1,265,71.8898,2024,152,1,286,99.7281,2020,886,0,480,98.8885,2022,947,1,413,14.0566,2023,418,0,35,92.5176,2023,42,0,3,91.2929,2018,121,1,317,30.0124,2024,866,1,67,23.3943,2018,127,0,361,1.7606,2024,57,1,395,11.0989,2023,85,1,65,12.3311,2021,260,1,283,2.2761,2022,626,1,268,84.2711,2020,178,1,312,33.4871,2024,640,0,243,7.6375,2022,342,0,117,5.8568,2023,388,0,265,63.2993,2024,0,0,472,94.8278,2021,901,1,235,7.0395,2019,895,0,401,62.4036,2018,763,1,92,43.5028,2024,440,1,368,75.7903,2022,353,0,365,63.0225,2024,136,0,282,94.3213,2021,684,1,461,38.0537,2024,920,1,309,88.3726,2019,221,1,199,23.1782,2022,890,0,164,41.9916,2023,653,0,75,87.2403,2021,656,0,230,87.2321,2022,995,0,246,60.1625,2020,469,1,256,67.9196,2022,55,1,64,96.597,2024,94,1,479,7.8106,2018,816,0,273,28.0504,2022,39,0,460,64.6547,2022,274,0,41,41.3513,2024,825,1,303,21.1781,2024,561,0,484,21.2811,2023,361,0,145,81.5397,2022,459,1,215,11.6132,2020,50,0,52,91.2426,2019,429,1,256,69.888,2018,739,1,381,12.3134,2020,356,1,77,17.7402,2024,32,0,45,51.1389,2023,546,0,12,51.7834,2021,87,0,147,19.1392,2024,755,1,162,74.0095,2023,170,1,466,82.929,2018,215,0,102,21.2847,2021,424,1,89,31.5676,2022,525,0,316,10.4367,2021,187,1,40,41.3417,2023,402,1,192,66.525,2022,934,0,256,6.051,2018,255,1,410,30.0502,2022,868,0,429,25.6013,2024,378,1,350,97.96,2024,289,1,155,93.9418,2018,529,0,289,68.7651,2021,877,1,388,27.6949,2022,845,1,41,38.2101,2018,890,1,447,8.5159,2018,695,0,272,29.809,2020,36,0,91,68.1593,2024,841,1,220,54.5223,2024,297,0,428,4.5514,2019,840,0,369,71.3366,2018,274,1,246,20.0072,2021,208,0,37,78.3636,2020,164,1,16,89.6337,2023,940,0,67,74.6614,2024,377,0,395,21.632,2019,38,1,273,53.4317,2024,468,0,355,41.7154,2023,981,0,160,28.0289,2019,165,1,415,11.2811,2019,612,1,399
307,C026,30,Phone,Electronics,,1,2024-04-15,0,326,6.9968,2021,527,1,396,16.2917,2018,626,0,277,78.0478,2023,470,0,244,5.8679,2024,850,1,38,77.5723,2024,805,0,299,53.4032,2021,463,1,171,88.5219,2020,32,0,377,46.6825,2019,338,1,109,2.3744,2021,408,1,206,37.943,2020,630,1,204,49.855,2020,389,1,101,9.7654,2019,98,1,85,19.8423,2019,238,0,167,41.2778,2024,250,1,233,80.8563,2023,853,0,199,98.3891,2020,794,1,492,62.4195,2024,287,1,377,22.7686,2020,777,0,24,39.7175,2019,901,0,465,7.4488,2022,102,0,167,35.8765,2023,50,1,224,48.1941,2024,598,1,186,73.1922,2023,235,0,332,10.8294,2023,943,0,273,69.1898,2019,706,0,115,11.9538,2021,403,0,201,76.832,2024,387,1,481,16.0842,2020,756,0,282,63.3782,2019,510,1,39,73.1798,2022,25,1,205,88.9204,2023,325,0,411,75.7573,2023,900,1,318,98.7706,2022,277,0,5,74.7235,2024,805,1,422,88.18,2023,264,1,54,7.2064,2020,191,0,148,65.3153,2021,949,1,221,13.8518,2022,911,1,474,58.7717,2024,649,0,193,11.9982,2020,273,0,275,1.6965,2022,141,1,126,66.5856,2021,600,0,468,16.2863,2021,486,0,97,49.7177,2023,89,0,252,1.434,2023,363,1,440,95.3307,2020,849,1,482,76.2162,2018,831,0,40,93.4389,2021,713,1,404,9.3724,2023,320,1,306,48.8411,2021,837,1,157,32.8304,2021,405,1,72,2.0184,2024,374,0,174,10.4976,2021,459,0,107,46.1039,2020,547,1,212,90.4273,2022,827,0,265,5.0386,2018,579,1,361,39.1171,2023,420,0,130,85.626,2019,114,1,278,49.9748,2023,460,0,231,81.709,2021,104,0,373,5.7149,2023,574,0,194,93.2419,2018,427,0,33,11.5342,2018,942,0,19,74.3725,2024,532,1,52,93.598,2024,837,1,132,62.7859,2020,955,0,397,48.5795,2023,568,0,209,46.6561,2023,94,1,330,29.321,2023,333,1,439,75.6471,2024,52,1,31,95.8228,2022,990,0,405,76.7522,2018,910,1,389,41.8046,2018,783,1,462,81.3103,2018,781,1,245,39.1732,2023,828,0,110,98.5379,2021,797,0,355,15.6253,2021,872,1,232,74.9316,2021,433,0,89
308,C027,365,Yoga Mat,Sports,840.0,2,2024-04-25,0,34,45.6125,2019,9,0,176,75.6653,2024,535,0,25,89.055,2024,251,1,239,98.715,2020,111,1,254,39.5214,2022,106,1,92,37.9491,2021,223,1,468,33.7572,2023,914,1,485,34.5087,2020,316,0,55,26.6298,2023,110,1,83,50.186,2024,908,1,30,40.0189,2020,731,1,310,68.8055,2019,76,0,236,39.1209,2021,748,1,205,64.4314,2018,157,0,186,65.1142,2023,627,1,46,14.0785,2020,331,1,345,32.4528,2023,943,1,82,89.5488,2021,416,0,209,45.1824,2019,431,0,182,39.6326,2023,4,0,270,35.4614,2018,807,0,74,14.5411,2021,843,1,349,35.8857,2023,88,1,485,94.1845,2018,11,1,96,67.1621,2023,835,1,346,99.6091,2022,656,0,232,96.0584,2024,940,0,304,4.6488,2018,573,1,383,36.7511,2022,202,0,465,61.211,2019,748,0,5,0.4034,2024,664,0,14,71.3824,2020,688,0,31,70.3137,2021,295,1,333,82.5791,2024,996,1,210,7.8104,2020,897,0,221,28.4976,2024,58,1,461,11.9734,2020,38,0,369,49.4185,2020,432,1,328,39.9847,2024,4,1,51,60.8819,2022,615,0,339,59.4373,2018,23,0,159,41.3952,2022,819,0,288,44.5737,2018,815,1,448,61.7015,2018,792,0,423,44.2479,2023,849,0,104,73.164,2024,578,0,121,57.1823,2024,854,1,302,87.3357,2021,877,0,33,9.3636,2018,758,0,89,61.2364,2018,27,0,182,76.0114,2024,858,0,48,1.6942,2024,423,1,356,72.7303,2023,826,1,92,76.4299,2023,658,1,345,45.4705,2024,682,0,496,11.8771,2019,887,0,461,69.2473,2021,524,1,371,25.6699,2023,380,0,360,72.1913,2018,321,0,216,36.0042,2019,928,0,191,24.8653,2020,783,1,233,45.9097,2018,128,1,175,52.8222,2022,367,0,69,12.2785,2021,427,0,264,51.3836,2020,363,1,485,30.1564,2023,567,1,434,9.7381,2021,45,0,93,90.2847,2020,618,0,200,44.5822,2024,62,0,272,44.8256,2019,971,1,310,49.3915,2023,250,0,494,55.3449,2018,281,1,272,16.9499,2022,288,1,297,41.8737,2022,77,0,44,35.3019,2020,812,0,43,22.7301,2019,866,1,215,34.08,2022,360,0,103,11.84,2018,934,0,204
309,C028,120,Lamp,Home,910.0,3,2024-05-01,0,345,53.8047,2024,755,0,151,81.1799,2018,311,0,23,45.7429,2019,971,0,144,90.9415,2018,78,0,313,21.0576,2022,625,0,481,81.3885,2020,504,1,173,50.0556,2018,9,1,145,47.5491,2021,436,0,333,59.201,2024,966,0,403,15.1981,2018,222,0,285,6.9612,2018,759,1,138,5.3971,2019,690,1,224,19.2569,2021,839,1,140,76.582,2024,296,0,459,76.7963,2022,108,1,49,23.1429,2024,826,1,134,86.1328,2020,67,0,295,21.8408,2024,7,0,494,23.6486,2022,472,1,355,72.9151,2019,890,1,163,78.8243,2022,824,1,401,83.3729,2024,997,1,428,60.2616,2019,629,0,115,52.8901,2024,69,1,378,45.3949,2022,787,1,340,36.5666,2018,416,0,429,19.5549,2022,368,0,376,81.9871,2024,355,1,142,66.2994,2023,821,0,450,98.2593,2022,689,0,345,6.7008,2019,975,0,215,78.7417,2020,257,1,180,90.3261,2018,241,0,411,24.1213,2018,127,1,265,84.7469,2018,861,0,53,16.4333,2024,270,1,67,4.6801,2019,483,1,239,5.571,2019,400,1,161,53.6205,2018,550,0,213,65.3943,2023,633,0,248,24.3403,2018,774,1,389,9.34,2019,660,1,189,12.0439,2024,553,1,92,61.8054,2021,680,1,152,97.0545,2021,679,1,146,95.5585,2018,991,0,256,75.1767,2021,208,1,304,46.2018,2023,151,0,228,61.3194,2024,81,1,300,35.7494,2018,91,0,322,97.0763,2018,746,0,52,85.5086,2021,333,0,180,63.1792,2018,43,1,15,97.2884,2018,254,0,43,3.1781,2020,514,0,311,27.2059,2023,468,0,403,62.9852,2021,752,1,377,14.4828,2023,847,1,222,27.4199,2023,430,0,124,68.0392,2024,768,1,397,93.1844,2021,405,0,12,13.3758,2024,91,1,382,14.6875,2024,986,0,95,39.0819,2024,111,1,149,10.7066,2021,26,0,296,9.6685,2022,449,1,326,32.5647,2021,201,0,488,69.3036,2022,584,0,261,25.6277,2024,363,0,30,27.8107,2021,390,0,171,53.7022,2018,406,0,94,46.3884,2023,422,1,250,52.3901,2023,418,0,368,42.3946,2018,882,1,7,16.1292,2018,229,1,123,32.778,2024,176,0,181,76.4496,2022,716,0,167,31.3905,2022,92,0,434
309,C028,120,Lamp,Home,910.0,3,2024-05-01,1,28,81.0418,2022,846,1,436,23.88,2020,606,1,133,91.2197,2020,892,0,280,56.4798,2023,205,1,383,78.7518,2022,645,1,24,65.9768,2018,930,0,167,40.8495,2020,523,1,297,71.8955,2018,408,0,58,17.0828,2019,866,0,353,82.0915,2018,410,0,20,82.6782,2023,690,0,186,59.7847,2021,585,1,480,88.3355,2020,847,0,96,41.1074,2023,617,1,307,43.8865,2018,980,1,92,47.3081,2018,15,0,177,74.63,2019,6,1,221,66.6641,2019,831,1,30,17.7533,2021,559,1,300,32.0634,2023,758,0,433,68.3869,2023,948,1,91,63.8775,2019,389,0,325,22.4724,2018,886,1,283,33.077,2022,838,0,314,34.0848,2018,711,1,179,38.807,2024,695,1,128,26.27,2021,815,1,237,1.7474,2018,223,1,113,96.6986,2019,235,0,315,51.0998,2020,848,1,437,38.0631,2019,485,0,439,69.9959,2023,364,0,156,15.3276,2021,567,0,195,63.0756,2019,525,0,330,33.9786,2022,29,0,332,98.1138,2021,903,1,158,27.5686,2019,830,1,274,83.7357,2019,551,1,498,99.93,2021,837,1,456,57.1197,2018,306,1,37,55.5488,2023,83,0,379,59.8664,2021,275,0,31,93.3484,2019,709,0,407,98.1271,2023,118,0,300,44.3207,2021,469,1,480,39.3946,2021,223,1,263,22.0019,2019,766,1,343,88.9471,2019,70,1,441,55.8703,2018,493,0,467,34.2847,2019,931,1,338,77.6915,2020,939,1,81,87.6392,2021,759,1,62,24.9775,2024,355,1,34,32.1206,2023,454,0,130,32.6755,2022,21,1,399,3.7138,2022,446,0,199,33.5866,2023,454,0,306,75.8617,2021,715,1,20,56.2796,2021,176,1,125,22.7695,2024,371,1,470,13.8614,2024,278,0,129,84.2751,2024,637,0,268,51.9326,2020,245,1,272,5.3236,2023,457,0,156,39.6928,2021,597,0,485,15.3047,2024,818,0,39,98.6302,2024,147,1,160,78.0612,2023,200,1,266,6.1672,2018,989,0,340,20.5161,2022,65,1,167,52.3368,2024,406,0,231,85.7274,2020,436,1,167,24.4553,2023,489,0,187,52.2671,2022,270,1,367,24.6744,2023,439,1,379,32.4349,2021,691,1,210,96.276,2021,776,0,362,83.8866,2023,581,1,379
